,value
0_primarytoI_spread,0.012552553907468886
0_primarytoII_spread,0.22149839122892154
0_primarytoIII_spread,0.1315927146496073
0_primarytoIV_spread,0.050110886415042445
0_primarytoV_spread,0.018434729139000423
0_ItoII_spread,0.9999338930386481
0_IItoIII_spread,0.39516833992283484
0_IIItoIV_spread,0.02821923616102751
0_IVtoV_spread,0.045529600594887185
0_late_p,0.43411367016459707
0_C01_coef,0.09676861209390847
0_C02_coef,0.0034116384566882626
0_C03_coef,0.0
0_C04_coef,3.9703546181010375e-08
0_C05_coef,0.0002395992066650702
0_C06_coef,0.0
0_C09_coef,0.019686996153191406
0_C10_coef,0.19916292417991258
0_C12_coef,0.8822889058266994
0_C13_coef,0.9999938757582271
1_primarytoI_spread,0.06737235860268562
1_primarytoII_spread,0.040633901120444745
1_primarytoIII_spread,0.011155321775533083
1_primarytoIV_spread,0.007599376595966343
1_primarytoV_spread,6.610696135189607e-05
1_ItoII_spread,0.14571943579476232
1_IItoIII_spread,0.12176612143297534
1_IIItoIV_spread,6.610696135189607e-05
1_IVtoV_spread,6.610696135189607e-05
1_late_p,0.5811696550548876
1_C01_coef,0.03615239470439033
1_C02_coef,0.7104781949682835
1_C03_coef,1.0
1_C04_coef,0.9895379583485047
1_C05_coef,0.6769999825222522
1_C06_coef,0.9999994683806138
1_C09_coef,0.07013306929980498
1_C10_coef,0.15349624662768294
1_C12_coef,0.0
1_C13_coef,0.0
2_primarytoI_spread,0.029453311150967394
2_primarytoII_spread,0.4329900610503557
2_primarytoIII_spread,0.06975287405600693
2_primarytoIV_spread,0.00859974720877707
2_primarytoV_spread,0.019381462102421063
2_ItoII_spread,0.9999338930386481
2_IItoIII_spread,0.07825289085387689
2_IIItoIV_spread,0.13482488865691133
2_IVtoV_spread,0.31710421863502886
2_late_p,0.43354936810096206
2_C01_coef,0.8670789932017012
2_C02_coef,0.28611016657502836
2_C03_coef,0.0
2_C04_coef,0.010462001947949173
2_C05_coef,0.3227604182710827
2_C06_coef,5.316193862217121e-07
2_C09_coef,0.9101799345470036
2_C10_coef,0.6473408291924044
2_C12_coef,0.1177110941733006
2_C13_coef,6.124241772967381e-06
