,value
0_primarytoI_spread,0.012217360525240606
0_primarytoII_spread,0.3384392506582197
0_primarytoIII_spread,0.09480178932598951
0_primarytoIV_spread,0.04900842047843882
0_primarytoV_spread,0.020924004502208438
0_ItoII_spread,0.9999338930386481
0_IItoIII_spread,0.3999040187715964
0_IIItoIV_spread,0.015912611171778293
0_IVtoV_spread,0.10475708692596322
0_late_p,0.3742621754302885
0_C01_coef,0.32612261183353225
0_C02_coef,0.01178223111027275
0_C03_coef,0.0
0_C04_coef,0.00209287702589208
0_C05_coef,0.039620239118133796
0_C06_coef,0.0
0_C09_coef,0.047717070488057345
0_C10_coef,0.0919414074656324
0_C12_coef,0.999995403089228
0_C13_coef,0.9999295169865541
1_primarytoI_spread,0.050487002162803975
1_primarytoII_spread,0.012412003307410102
1_primarytoIII_spread,0.0028224016172419125
1_primarytoIV_spread,0.004120286583795411
1_primarytoV_spread,6.610696135189607e-05
1_ItoII_spread,0.07063724162496988
1_IItoIII_spread,0.02252695538932261
1_IIItoIV_spread,6.610696135189607e-05
1_IVtoV_spread,6.610696135189607e-05
1_late_p,0.9999646927847854
1_C01_coef,0.0
1_C02_coef,0.5745243521840544
1_C03_coef,1.0
1_C04_coef,0.7646172893147895
1_C05_coef,0.3985214898992635
1_C06_coef,1.0
1_C09_coef,0.09078381957652301
1_C10_coef,0.0967072219511075
1_C12_coef,0.0
1_C13_coef,0.0
2_primarytoI_spread,0.031094481237691745
2_primarytoII_spread,0.3860191988662717
2_primarytoIII_spread,0.10220986668211904
2_primarytoIV_spread,0.003737117244797443
2_primarytoV_spread,0.02144608164887483
2_ItoII_spread,0.9999338930386481
2_IItoIII_spread,0.010540784569835182
2_IIItoIV_spread,0.13397815097512178
2_IVtoV_spread,0.3230170398111697
2_late_p,0.4075377638539782
2_C01_coef,0.6738773881664678
2_C02_coef,0.41369341670567283
2_C03_coef,0.0
2_C04_coef,0.2332898336593185
2_C05_coef,0.5618582709826028
2_C06_coef,0.0
2_C09_coef,0.8614991099354197
2_C10_coef,0.8113513705832601
2_C12_coef,4.5969107720175095e-06
2_C13_coef,7.04830134459269e-05
