likelihoods
-3169.3083007055047
-3149.9063629651573
-3148.220838706735
-3147.6019721392313
-3147.228609510905
-3146.9730285798787
-3146.779036833266
-3146.6281118948364
-3146.49570730294
-3146.3800926619947
-3146.2749579910424
-3146.170811059508
-3146.075707857596
-3145.9852927025813
-3145.8982198487433
-3145.819024451806
-3145.745730682273
-3145.678496351569
-3145.615883154035
-3145.556943194512
-3145.502591106847
-3145.4516983263893
-3145.402400028578
-3145.3562969432046
-3145.3132296981466
-3145.2719455531474
-3145.232427923561
-3145.194544270616
-3145.1581158567824
-3145.1233779285894
-3145.0900970507178
-3145.0580959992094
-3145.0272554934463
-3144.997421806237
-3144.968528790361
-3144.9404830775848
-3144.91314626908
-3144.8865219021936
-3144.8605142152
-3144.835057544283
-3144.8100940216386
-3144.785705578408
-3144.7617103526413
-3144.73801802134
-3144.714854886758
-3144.691759300269
-3144.6689474077316
-3144.646162179828
-3144.6235072758027
-3144.6010707174505
-3144.5787818164595
-3144.556596612779
-3144.5344855041303
-3144.512423958301
-3144.490053493759
-3144.4678264071194
-3144.4456420103097
-3144.4233497786345
-3144.4010885285106
-3144.3788397000417
-3144.356578989184
-3144.3342613126847
-3144.3118929223265
-3144.2894616189683
-3144.267013008048
-3144.244531418204
-3144.2216997790047
-3144.198927092265
-3144.1761044430336
-3144.1534135569136
-3144.130686878711
-3144.1074673627736
-3144.0843092664936
-3144.061169579261
-3144.0378700533474
-3144.0145689580995
-3143.9911294871426
-3143.967567943477
-3143.943989755341
-3143.9202595332063
-3143.8964031931837
-3143.873163964266
-3143.8502806621127
-3143.8276696560342
-3143.8053102666645
-3143.78320252326
-3143.761412583516
-3143.7400138072203
-3143.7192330500206
-3143.6987822937153
-3143.678917543306
-3143.6593035046244
-3143.640196456019
-3143.620726727512
-3143.6017785728345
-3143.5832210955286
-3143.565057247016
-3143.5471672640133
-3143.529898651692
-3143.5127465900755
-3143.4959547885665
-3143.479029200767
-3143.4629345045823
-3143.4470051567905
-3143.431365656742
-3143.416049587277
-3143.4009953064387
-3143.386201880623
-3143.371655121409
-3143.3576542334254
-3143.344005237196
-3143.3304743666367
-3143.317212064998
-3143.3041977852454
-3143.2917305451183
-3143.279469183075
-3143.2673994628144
-3143.255597619797
-3143.244068230915
-3143.2327980766036
-3143.2217543281163
-3143.211258064976
-3143.200979329621
-3143.1908102335487
-3143.1809221773656
