,value
0_primarytoI_spread,0.010987224861387562
0_primarytoII_spread,0.2555549389294793
0_primarytoIII_spread,0.12975424838806604
0_primarytoIV_spread,0.04702588767391614
0_primarytoV_spread,0.025284224506786357
0_ItoII_spread,0.1363020210754274
0_IItoIII_spread,0.2990522532150497
0_IIItoIV_spread,0.050646068910131244
0_IVtoV_spread,0.0630948427522678
0_late_p,0.4002905535861691
0_C01_coef,0.009494995085025987
0_C02_coef,0.14002058088445457
0_C03_coef,0.0
0_C04_coef,0.04547972862161889
0_C05_coef,0.012088737536136457
0_C06_coef,0.0
0_C09_coef,0.05873352120469492
0_C10_coef,0.39579878797342144
0_C12_coef,0.9813073897734939
0_C13_coef,0.9835785381472705
1_primarytoI_spread,0.04706433125746302
1_primarytoII_spread,0.034870181749260126
1_primarytoIII_spread,0.010303034610402367
1_primarytoIV_spread,6.610696135189607e-05
1_primarytoV_spread,6.610696135189607e-05
1_ItoII_spread,0.0728335299684556
1_IItoIII_spread,0.05038894696766897
1_IIItoIV_spread,6.610696135189607e-05
1_IVtoV_spread,6.610696135189607e-05
1_late_p,0.824298200276606
1_C01_coef,0.02602848293272747
1_C02_coef,0.5679395801290862
1_C03_coef,1.0
1_C04_coef,0.9269603942571722
1_C05_coef,0.6042175477049767
1_C06_coef,0.9999978103324096
1_C09_coef,0.07982448902804286
1_C10_coef,0.16373760729723683
1_C12_coef,0.0
1_C13_coef,0.0
2_primarytoI_spread,0.03408000740070229
2_primarytoII_spread,0.4595813055421759
2_primarytoIII_spread,0.043504892408447036
2_primarytoIV_spread,0.007723987810943196
2_primarytoV_spread,0.019929465506979254
2_ItoII_spread,0.9999338930386481
2_IItoIII_spread,0.15212941513088535
2_IIItoIV_spread,0.26039712180468044
2_IVtoV_spread,0.23984027048100973
2_late_p,0.3742046404402393
2_C01_coef,0.9644765219822465
2_C02_coef,0.2920398389864592
2_C03_coef,0.0
2_C04_coef,0.027559877121208925
2_C05_coef,0.3836937147588868
2_C06_coef,2.1896675903284183e-06
2_C09_coef,0.8614419897672622
2_C10_coef,0.4404636047293417
2_C12_coef,0.018692610226506142
2_C13_coef,0.016421461852729486
