,value
0_primarytoI_spread,0.011747655833427966
0_primarytoII_spread,0.21625191793226833
0_primarytoIII_spread,0.11366108565520769
0_primarytoIV_spread,0.05647747685302757
0_primarytoV_spread,0.02824006746668771
0_ItoII_spread,0.4173389461804127
0_IItoIII_spread,0.3170356678035152
0_IIItoIV_spread,6.610696135189607e-05
0_IVtoV_spread,0.07990928333183808
0_late_p,0.4438073628097385
0_C01_coef,0.006889194896760015
0_C02_coef,0.3801903821313943
0_C03_coef,0.0
0_C04_coef,0.03478471706434121
0_C05_coef,0.28524841066492046
0_C06_coef,0.0
0_C09_coef,0.14518846527707185
0_C10_coef,0.4954891770047362
0_C12_coef,0.9945913824386369
0_C13_coef,0.9236489334071097
1_primarytoI_spread,0.050474796189358864
1_primarytoII_spread,0.0003811250609391339
1_primarytoIII_spread,0.006159566729639056
1_primarytoIV_spread,6.610696135189607e-05
1_primarytoV_spread,6.610696135189607e-05
1_ItoII_spread,0.21711208906601545
1_IItoIII_spread,0.08186886544944881
1_IIItoIV_spread,0.06396283296878705
1_IVtoV_spread,6.610696135189607e-05
1_late_p,0.9999660878404967
1_C01_coef,0.0016834863383819402
1_C02_coef,0.48138201385194274
1_C03_coef,1.0
1_C04_coef,0.6309719053927986
1_C05_coef,0.33828114528185105
1_C06_coef,0.7222807937839961
1_C09_coef,0.09081591213178629
1_C10_coef,0.14895974701029693
1_C12_coef,0.0
1_C13_coef,5.17768417286911e-07
2_primarytoI_spread,0.028100761957882765
2_primarytoII_spread,0.5217968839233715
2_primarytoIII_spread,0.06205928086805886
2_primarytoIV_spread,0.011798560933674648
2_primarytoV_spread,0.01664873186931237
2_ItoII_spread,0.9999338930386481
2_IItoIII_spread,0.0994951255250801
2_IIItoIV_spread,0.23103574625679643
2_IVtoV_spread,0.11199573115688191
2_late_p,0.36092409767753925
2_C01_coef,0.991427318764858
2_C02_coef,0.13842760401666301
2_C03_coef,0.0
2_C04_coef,0.3342433775428603
2_C05_coef,0.37647044405322855
2_C06_coef,0.27771920621600393
2_C09_coef,0.7639956225911418
2_C10_coef,0.35555107598496677
2_C12_coef,0.00540861756136312
2_C13_coef,0.07635054882447306
