,value
0_primarytoI_spread,0.01059470627944172
0_primarytoII_spread,0.22764667229058408
0_primarytoIII_spread,0.11551289532736081
0_primarytoIV_spread,0.02684537263700076
0_primarytoV_spread,0.03686203898059563
0_ItoII_spread,0.9999338930386481
0_IItoIII_spread,0.27604310860081155
0_IIItoIV_spread,0.11587675622963561
0_IVtoV_spread,0.0501326719453084
0_late_p,0.43051238417011223
0_C01_coef,0.11470220550461109
0_C02_coef,0.18008318912788193
0_C03_coef,0.0
0_C04_coef,0.09642928027911958
0_C05_coef,0.0
0_C06_coef,0.0
0_C09_coef,0.3571077732029691
0_C10_coef,0.4302302706794747
0_C12_coef,0.9298812101262274
0_C13_coef,0.9999660726021083
1_primarytoI_spread,0.060428393876598006
1_primarytoII_spread,0.008717378546650336
1_primarytoIII_spread,0.01600080609179009
1_primarytoIV_spread,0.008510603510017426
1_primarytoV_spread,0.00010696331036034353
1_ItoII_spread,0.20942541504602777
1_IItoIII_spread,0.12667460736130726
1_IIItoIV_spread,6.610696135189607e-05
1_IVtoV_spread,6.610696135189607e-05
1_late_p,0.6999605719596077
1_C01_coef,0.052168859397273726
1_C02_coef,0.6151457528254564
1_C03_coef,1.0
1_C04_coef,0.7525998875546673
1_C05_coef,0.6704612819164384
1_C06_coef,0.7790552060390754
1_C09_coef,0.09938696838533402
1_C10_coef,0.1975980803278627
1_C12_coef,0.0
1_C13_coef,0.0
2_primarytoI_spread,0.04072889648542116
2_primarytoII_spread,0.8159513722902056
2_primarytoIII_spread,0.028477564518105136
2_primarytoIV_spread,0.0038061194660075825
2_primarytoV_spread,0.007735644335180578
2_ItoII_spread,0.9999338930386481
2_IItoIII_spread,0.1381080652180771
2_IIItoIV_spread,0.2027607831530145
2_IVtoV_spread,0.46464506644990033
2_late_p,0.3587308492266519
2_C01_coef,0.8331289350981151
2_C02_coef,0.20477105804666168
2_C03_coef,0.0
2_C04_coef,0.15097083216621313
2_C05_coef,0.32953871808356167
2_C06_coef,0.22094479396092465
2_C09_coef,0.543505258411697
2_C10_coef,0.37217164899266253
2_C12_coef,0.07011878987377265
2_C13_coef,3.3927397891701855e-05
