,value
0_primarytoI_spread,0.013028643836842182
0_primarytoII_spread,0.305167647529133
0_primarytoIII_spread,0.19572089550224692
0_primarytoIV_spread,0.039124331685823834
0_primarytoV_spread,0.028027781912078407
0_ItoII_spread,0.9999348370482565
0_IItoIII_spread,0.17255924319727456
0_IIItoIV_spread,0.052995866489561776
0_IVtoV_spread,0.1097485496051709
0_late_p,0.3814983474711624
0_C01_coef,0.17173719838703475
0_C02_coef,0.12512959151481678
0_C03_coef,0.0
0_C04_coef,0.04468076881933983
0_C05_coef,0.0004174565124401397
0_C06_coef,0.0
0_C09_coef,0.014207084011595915
0_C10_coef,0.375457215226075
0_C12_coef,0.9999541434606878
0_C13_coef,0.8861705754682979
1_primarytoI_spread,0.05362036939457588
1_primarytoII_spread,0.026663287240102775
1_primarytoIII_spread,0.011810415321184488
1_primarytoIV_spread,0.002698680864801512
1_primarytoV_spread,6.610696135189607e-05
1_ItoII_spread,0.14775864695708693
1_IItoIII_spread,0.07156627694676612
1_IIItoIV_spread,6.610696135189607e-05
1_IVtoV_spread,6.610696135189607e-05
1_late_p,0.6514776410845667
1_C01_coef,1.3157308052222204e-05
1_C02_coef,0.664553268447157
1_C03_coef,1.0
1_C04_coef,0.8361173209899178
1_C05_coef,0.550192765775726
1_C06_coef,0.977308180855019
1_C09_coef,0.05049018976274019
1_C10_coef,0.26415710873647924
1_C12_coef,0.0
1_C13_coef,0.0
2_primarytoI_spread,0.039878286698643066
2_primarytoII_spread,0.4447855044802542
2_primarytoIII_spread,0.07345499681352524
2_primarytoIV_spread,0.005260890204458712
2_primarytoV_spread,0.02233556236189734
2_ItoII_spread,0.9999338930386481
2_IItoIII_spread,0.0719784909841267
2_IIItoIV_spread,0.1715879566556332
2_IVtoV_spread,0.002458469580339336
2_late_p,0.4080438399266837
2_C01_coef,0.828249644304913
2_C02_coef,0.2103171400380262
2_C03_coef,0.0
2_C04_coef,0.11920191019074242
2_C05_coef,0.4493897777118339
2_C06_coef,0.022691819144980932
2_C09_coef,0.9353027262256639
2_C10_coef,0.3603856760374457
2_C12_coef,4.585653931223005e-05
2_C13_coef,0.11382942453170213
