,value
0_primarytoI_spread,6.610696135189607e-05
0_primarytoII_spread,0.021375980215406917
0_primarytoIII_spread,0.004602303860950907
0_primarytoIV_spread,0.0021959160823641975
0_primarytoV_spread,6.610696135189607e-05
0_ItoII_spread,0.9999447321764564
0_IItoIII_spread,0.21985031233014107
0_IIItoIV_spread,0.050569574662085996
0_IVtoV_spread,6.610696135189607e-05
0_late_p,0.9999660057016566
0_C01_coef,0.0
0_C02_coef,0.3580863426664682
0_C03_coef,0.0
0_C04_coef,0.13549043535598349
0_C05_coef,0.1953954555472332
0_C06_coef,0.37329861178361123
0_C09_coef,0.034393642497952036
0_C10_coef,0.1809732103205248
0_C12_coef,0.09416283751450567
0_C13_coef,0.2145218033415628
0_C32.0_coef,0.9881822776031238
0_C32.1_coef,0.5105702923458347
0_C32.2_coef,1.0
1_primarytoI_spread,0.03124299117220871
1_primarytoII_spread,0.5707473639420939
1_primarytoIII_spread,6.610696135189607e-05
1_primarytoIV_spread,6.610696135189607e-05
1_primarytoV_spread,0.013277148242390822
1_ItoII_spread,0.9999338930386481
1_IItoIII_spread,0.18303354606637817
1_IIItoIV_spread,0.507557408806323
1_IVtoV_spread,0.2777782339639707
1_late_p,0.3236713548911949
1_C01_coef,0.6849956821696491
1_C02_coef,0.17088825935150856
1_C03_coef,0.0904407817315229
1_C04_coef,0.19180890360818256
1_C05_coef,0.3972428001837362
1_C06_coef,0.1337029072140782
1_C09_coef,0.6671864042379743
1_C10_coef,0.49180119040141285
1_C12_coef,0.020065133428816703
1_C13_coef,0.041886064724997764
1_C32.0_coef,0.0
1_C32.1_coef,0.04412767184687521
1_C32.2_coef,0.0
2_primarytoI_spread,0.012932500627838052
2_primarytoII_spread,0.2870354609266012
2_primarytoIII_spread,0.21195097948124247
2_primarytoIV_spread,0.048016918535560726
2_primarytoV_spread,0.02666379561557785
2_ItoII_spread,6.610696135189607e-05
2_IItoIII_spread,6.610696135189607e-05
2_IIItoIV_spread,6.610696135189607e-05
2_IVtoV_spread,0.07903405858126338
2_late_p,0.45644791149394237
2_C01_coef,0.2992642628975901
2_C02_coef,0.13685430483615618
2_C03_coef,0.0
2_C04_coef,0.032523270551223706
2_C05_coef,0.028275103212235614
2_C06_coef,0.0
2_C09_coef,0.26189465424100755
2_C10_coef,0.30887753736630646
2_C12_coef,0.8857720290566776
2_C13_coef,0.7435921319334395
2_C32.0_coef,0.011817722396876229
2_C32.1_coef,0.44530203580729016
2_C32.2_coef,0.0
3_primarytoI_spread,0.10390130143319418
3_primarytoII_spread,0.0007331374358574056
3_primarytoIII_spread,0.0058763796286609065
3_primarytoIV_spread,0.000979478855865672
3_primarytoV_spread,6.610696135189607e-05
3_ItoII_spread,0.18189966909141417
3_IItoIII_spread,0.1550449764146238
3_IIItoIV_spread,0.059986304291122464
3_IVtoV_spread,6.610696135189607e-05
3_late_p,0.9999337663486494
3_C01_coef,0.01574005493276082
3_C02_coef,0.334171093145867
3_C03_coef,0.9095592182684771
3_C04_coef,0.6401773904846102
3_C05_coef,0.379086641056795
3_C06_coef,0.49299848100231053
3_C09_coef,0.036525299023066185
3_C10_coef,0.018348061911755937
3_C12_coef,0.0
3_C13_coef,0.0
3_C32.0_coef,0.0
3_C32.1_coef,0.0
3_C32.2_coef,0.0
