,value
0_primarytoI_spread,0.03232242348020432
0_primarytoII_spread,0.4471488066870577
0_primarytoIII_spread,0.06756515971562735
0_primarytoIV_spread,0.005561543842423608
0_primarytoV_spread,0.027946127847525076
0_ItoII_spread,0.9999338930386481
0_IItoIII_spread,0.13195879619001452
0_IIItoIV_spread,0.20777548371678678
0_IVtoV_spread,0.11439726645548522
0_late_p,0.38181226401933765
0_C01_coef,0.9501466739409585
0_C02_coef,0.14548559654036458
0_C03_coef,0.0
0_C04_coef,0.003447970738543505
0_C05_coef,0.37319365486621336
0_C06_coef,0.07272996459761868
0_C09_coef,0.9320691379672065
0_C10_coef,0.8147696726200351
1_primarytoI_spread,0.05263333782744898
1_primarytoII_spread,0.03823123270067631
1_primarytoIII_spread,0.021218792784919206
1_primarytoIV_spread,0.003614081571319973
1_primarytoV_spread,0.002274105833521343
1_ItoII_spread,0.22226034839020123
1_IItoIII_spread,0.02584863146903679
1_IIItoIV_spread,6.610696135189607e-05
1_IVtoV_spread,6.610696135189607e-05
1_late_p,0.6726708775659183
1_C01_coef,0.049853326059041435
1_C02_coef,0.8545144034596355
1_C03_coef,1.0
1_C04_coef,0.9965520292614565
1_C05_coef,0.6268063451337866
1_C06_coef,0.9272700354023813
1_C09_coef,0.06793086203279353
1_C10_coef,0.18523032737996487
