,value
0_primarytoI_spread,0.02470699092310637
0_primarytoII_spread,0.4201355301104283
0_primarytoIII_spread,0.07805351195082269
0_primarytoIV_spread,0.01035336335835085
0_primarytoV_spread,0.02341352703005144
0_ItoII_spread,0.9999338930386481
0_IItoIII_spread,0.09246360347850598
0_IIItoIV_spread,0.2119890894721822
0_IVtoV_spread,0.15659122407724466
0_late_p,0.3802209285827841
0_C01_coef,0.9944545899820012
0_C02_coef,0.4019537129961384
0_C03_coef,0.0
0_C04_coef,0.08880550608850908
0_C05_coef,0.3184346001575226
0_C06_coef,0.00024090950545395376
0_C09_coef,0.9420084134228562
0_C10_coef,0.7053772525671981
1_primarytoI_spread,0.05444498916546797
1_primarytoII_spread,0.020169645750263348
1_primarytoIII_spread,0.014576030187421917
1_primarytoIV_spread,0.0013136873079142488
1_primarytoV_spread,6.610696135189607e-05
1_ItoII_spread,0.11574056899518524
1_IItoIII_spread,0.04243686470860455
1_IIItoIV_spread,6.610696135189607e-05
1_IVtoV_spread,6.610696135189607e-05
1_late_p,0.780049214794882
1_C01_coef,0.0055454100179987455
1_C02_coef,0.5980462870038616
1_C03_coef,1.0
1_C04_coef,0.9111944939114909
1_C05_coef,0.6815653998424773
1_C06_coef,0.999759090494546
1_C09_coef,0.05799158657714373
1_C10_coef,0.2946227474328019
