,value
0_primarytoI_spread,0.03253257309030448
0_primarytoII_spread,0.4279165152530787
0_primarytoIII_spread,0.096957059458913
0_primarytoIV_spread,0.006604291355865121
0_primarytoV_spread,0.0252879637383478
0_ItoII_spread,0.1076681273028248
0_IItoIII_spread,0.06656314379656003
0_IIItoIV_spread,0.1630103905997737
0_IVtoV_spread,0.0867711907830667
0_late_p,0.39267566135931264
0_C01_coef,0.9967676256246633
0_C02_coef,0.3342370785246734
0_C03_coef,0.0
0_C04_coef,0.16333641181285688
0_C05_coef,0.3226802275296841
0_C06_coef,0.0007826891771437082
0_C09_coef,0.9213073165197753
0_C10_coef,0.8634321561918117
1_primarytoI_spread,0.0611741854309126
1_primarytoII_spread,0.022651462154012276
1_primarytoIII_spread,0.012993775385257984
1_primarytoIV_spread,0.003072286681314115
1_primarytoV_spread,0.00010696331036034353
1_ItoII_spread,0.257666058974314
1_IItoIII_spread,0.03818889665135055
1_IIItoIV_spread,0.05404465169927223
1_IVtoV_spread,6.610696135189607e-05
1_late_p,0.7383283597012542
1_C01_coef,0.00323237437533679
1_C02_coef,0.6657629214753267
1_C03_coef,1.0
1_C04_coef,0.8366635881871431
1_C05_coef,0.6773197724703159
1_C06_coef,0.9992173108228563
1_C09_coef,0.07869268348022475
1_C10_coef,0.13656784380818834
