,value
0_primarytoI_spread,0.026053492443237247
0_primarytoII_spread,0.46410870279319655
0_primarytoIII_spread,0.1133132489482535
0_primarytoIV_spread,0.004284293973671176
0_primarytoV_spread,0.022714451075647703
0_ItoII_spread,0.9139622053681878
0_IItoIII_spread,0.04088661603897103
0_IIItoIV_spread,0.1744127507791085
0_IVtoV_spread,0.3600961973935777
0_late_p,0.3646205799500677
0_C01_coef,0.9958576561725393
0_C02_coef,0.404807809928457
0_C03_coef,0.0
0_C04_coef,0.31203990897436124
0_C05_coef,0.38439642981148336
0_C06_coef,0.05056301371122712
0_C09_coef,0.9365235940592946
0_C10_coef,0.6627254060654432
1_primarytoI_spread,0.050317652773157466
1_primarytoII_spread,0.007992585433646473
1_primarytoIII_spread,0.011759132139014885
1_primarytoIV_spread,0.006508603025423213
1_primarytoV_spread,6.610696135189607e-05
1_ItoII_spread,0.20345495127858632
1_IItoIII_spread,0.10026136431668477
1_IIItoIV_spread,6.610696135189607e-05
1_IVtoV_spread,6.610696135189607e-05
1_late_p,0.6090702006361016
1_C01_coef,0.00414234382746067
1_C02_coef,0.595192190071543
1_C03_coef,1.0
1_C04_coef,0.6879600910256387
1_C05_coef,0.6156035701885166
1_C06_coef,0.9494369862887729
1_C09_coef,0.06347640594070537
1_C10_coef,0.33727459393455683
