,value
0_primarytoI_spread,0.00020640360553998618
0_primarytoII_spread,0.017571336436684595
0_primarytoIII_spread,0.004991665406813747
0_primarytoIV_spread,0.0009265366448790289
0_primarytoV_spread,6.610696135189607e-05
0_ItoII_spread,6.610696135189607e-05
0_IItoIII_spread,0.14281326463267377
0_IIItoIV_spread,0.026541296739658254
0_IVtoV_spread,6.610696135189607e-05
0_late_p,0.9999372458761833
0_C01_coef,0.0
0_C02_coef,0.1599955418255731
0_C03_coef,0.00034300363277445364
0_C04_coef,0.13078127818498786
0_C05_coef,0.008910001443327657
0_C06_coef,0.2895730896701437
0_C09_coef,0.07403720337087272
0_C10_coef,0.18782908164534376
0_C12_coef,0.10210988251977028
0_C13_coef,0.17789437824600726
0_C32.0_coef,0.9858742004498646
0_C32.1_coef,0.47612705785830695
0_C32.2_coef,1.0
1_primarytoI_spread,0.032316476288335574
1_primarytoII_spread,0.5352989603016167
1_primarytoIII_spread,0.005705398784066438
1_primarytoIV_spread,0.002216447836998741
1_primarytoV_spread,0.01664995428901778
1_ItoII_spread,0.9999338930386481
1_IItoIII_spread,0.16673998712047916
1_IIItoIV_spread,0.2571394693485856
1_IVtoV_spread,0.3042845081143296
1_late_p,0.3957265769554678
1_C01_coef,0.7629120540784773
1_C02_coef,0.28608936191391166
1_C03_coef,0.05489609895530001
1_C04_coef,0.1584679092093436
1_C05_coef,0.4460575882291553
1_C06_coef,0.13782353164263794
1_C09_coef,0.7076026556550281
1_C10_coef,0.47034381945478104
1_C12_coef,0.019534069764956374
1_C13_coef,0.06903007740165071
1_C32.0_coef,0.0
1_C32.1_coef,0.12019649055604996
1_C32.2_coef,0.0
2_primarytoI_spread,0.014928468445183958
2_primarytoII_spread,0.33513910894457943
2_primarytoIII_spread,0.25817445578402687
2_primarytoIV_spread,0.07519652347697567
2_primarytoV_spread,0.031513786802642184
2_ItoII_spread,6.610696135189607e-05
2_IItoIII_spread,6.610696135189607e-05
2_IIItoIV_spread,6.610696135189607e-05
2_IVtoV_spread,0.05681798305600377
2_late_p,0.3738778798219803
2_C01_coef,0.21662855748689397
2_C02_coef,0.09441809930008666
2_C03_coef,0.0
2_C04_coef,0.043585081484200386
2_C05_coef,0.02339984244986206
2_C06_coef,0.0
2_C09_coef,0.17755454946754184
2_C10_coef,0.2717651838517317
2_C12_coef,0.8783560477152733
2_C13_coef,0.753075544352342
2_C32.0_coef,0.014125671838589699
2_C32.1_coef,0.40367645158564314
2_C32.2_coef,0.0
3_primarytoI_spread,0.08247914175944301
3_primarytoII_spread,0.0007331374358574056
3_primarytoIII_spread,0.016274168253319687
3_primarytoIV_spread,0.0070041609934487405
3_primarytoV_spread,6.610696135189607e-05
3_ItoII_spread,0.22064862402093438
3_IItoIII_spread,0.13170951021025115
3_IIItoIV_spread,0.009351574740353384
3_IVtoV_spread,6.610696135189607e-05
3_late_p,0.6867190507487642
3_C01_coef,0.020459388434628724
3_C02_coef,0.45949699696042856
3_C03_coef,0.9447608974119255
3_C04_coef,0.6671657311214683
3_C05_coef,0.521632567877655
3_C06_coef,0.5726033786872183
3_C09_coef,0.04080559150655737
3_C10_coef,0.07006191504814359
3_C12_coef,0.0
3_C13_coef,0.0
3_C32.0_coef,1.2771154569363453e-07
3_C32.1_coef,0.0
3_C32.2_coef,0.0
