0_primarytoI_spread,0_primarytoII_spread,0_primarytoIII_spread,0_primarytoIV_spread,0_primarytoV_spread,0_primarytoVI_spread,0_primarytoVII_spread,0_ItoII_spread,0_IItoIII_spread,0_IIItoIV_spread,0_IVtoV_spread,0_late_p,0_C01_coef,0_C02_coef,0_C03_coef,0_C04_coef,0_C05_coef,0_C06_coef,0_C09_coef,0_C10_coef,0_C12_coef,0_C13_coef,1_primarytoI_spread,1_primarytoII_spread,1_primarytoIII_spread,1_primarytoIV_spread,1_primarytoV_spread,1_primarytoVI_spread,1_primarytoVII_spread,1_ItoII_spread,1_IItoIII_spread,1_IIItoIV_spread,1_IVtoV_spread,1_late_p,1_C01_coef,1_C02_coef,1_C03_coef,1_C04_coef,1_C05_coef,1_C06_coef,1_C09_coef,1_C10_coef,1_C12_coef,1_C13_coef,2_primarytoI_spread,2_primarytoII_spread,2_primarytoIII_spread,2_primarytoIV_spread,2_primarytoV_spread,2_primarytoVI_spread,2_primarytoVII_spread,2_ItoII_spread,2_IItoIII_spread,2_IIItoIV_spread,2_IVtoV_spread,2_late_p,2_C01_coef,2_C02_coef,2_C03_coef,2_C04_coef,2_C05_coef,2_C06_coef,2_C09_coef,2_C10_coef,2_C12_coef,2_C13_coef
0.04910682873073337,0.03112841145062648,0.013956605243761466,0.0036396295169434504,6.610696135189607e-05,0.16634377341653037,0.008393849825265743,0.18326047006748017,0.05205903902758122,0.011985305096075134,6.610696135189607e-05,0.681367258008067,0.1078233631156242,0.6762260170837423,1.0,0.8961476535652134,0.6197709241493757,0.9827531929336627,0.1774669514707774,0.28383690389172894,9.71274978614007e-19,0.007928342566064702,0.011616352765222927,0.2745241884822537,0.13510335975543775,0.041047004350192325,0.03276375306123416,0.010974084041859204,0.02105728399709935,0.7763479498169223,0.26386885194059007,0.08566363146886832,0.09089268455488837,0.38029446685202495,0.16462709124785668,0.15604928447612537,1.2902827855371007e-25,0.06715821874504116,0.04366668735241784,0.0031322105325770873,0.25112675303962373,0.39582406314951235,0.9779861840886057,0.9918611756356964,0.03476131321104768,0.9728535037522261,0.009117414407185205,0.0068372232745630215,0.016822312026931175,0.225261762464813,0.029858433039383,0.9999338930386481,0.13746268470565728,0.1914699228818765,0.15761133371510064,0.4697517142422791,0.7275495456365192,0.16772469844013244,1.2798369764843255e-21,0.0366941276897455,0.33656238849820647,0.014114596533760302,0.5714062954895989,0.3203390329587588,0.02201381591139427,0.00021048179823893547
0.04907153166412034,0.030989724571042175,0.013973030822943317,0.003650411229998473,6.610696135189607e-05,0.16532010393892896,0.008388066973403613,0.1834244047946745,0.051912073423277715,0.011673399065677052,6.610696135189607e-05,0.6815679379211713,0.1082352454567877,0.6762413107621069,1.0,0.8958307850992595,0.6200548744363732,0.9815101174718118,0.17768538607528722,0.2839825958004909,5.150892797818258e-19,0.007965163374622714,0.011612764599869471,0.2745585295538293,0.13515418013161717,0.04105016463235368,0.03278086768901349,0.010982455710288226,0.021061366156697618,0.776184364551339,0.26386898156100147,0.08570940683938004,0.09087492729989573,0.380344755771885,0.16370063928987055,0.15557157372682517,4.1802472434129124e-26,0.06655216118571701,0.04263321767212881,0.002865605583208576,0.25084349760134333,0.3953744012398952,0.9781947017406595,0.9918531119924683,0.03478483313037916,0.9747885818169703,0.008378428627882087,0.006850572170292596,0.01683478146050709,0.22766017998875554,0.029874515556792238,0.9999338930386481,0.13846441894818012,0.19188206723335116,0.15775114636073245,0.4691481266815636,0.7280641152533418,0.16818711551106796,5.85876236900875e-22,0.03761705371502348,0.337311907891498,0.015624276944979565,0.5714711163233694,0.32064300295961395,0.021805298259340574,0.00018172463290895143
0.04903595148087206,0.030844716682233517,0.013987800535313963,0.0036604307539691507,6.610696135189607e-05,0.16435132440562014,0.008382070792009297,0.1835655352333434,0.0517465044550466,0.011373871593436249,6.610696135189607e-05,0.6817981037747605,0.1086172863040598,0.6762210683379328,1.0,0.8954989880486802,0.6202899734660678,0.9801818994359196,0.17788534480630916,0.28410230124177993,2.738896574133294e-19,0.007999523136304115,0.01160882398932721,0.2745870734055268,0.13519934712512582,0.041050778728830506,0.03279688143107496,0.010989906825814858,0.021064587390438386,0.7759669245212851,0.2638585826369935,0.08575536232587304,0.09085603487843312,0.3804006621520346,0.16282175504931634,0.1551221448708326,1.3551175971587325e-26,0.06599355791398893,0.04163735758589958,0.002604420235237108,0.25057069130833043,0.3949533585022586,0.9783857169385282,0.9918437133547098,0.034811197339915285,0.976654074095413,0.007649811148944936,0.006863144184138052,0.016846679195256377,0.2298976051283998,0.029891423427613112,0.9999338930386481,0.13945811118039642,0.19230699695616793,0.1578899909373882,0.46853840673564223,0.7285609586466238,0.1686567867912347,2.688758581762432e-22,0.038507454037330864,0.3380726689480326,0.01721368032884337,0.5715439638853604,0.3209443402559615,0.021614283061471822,0.0001567635089860511
0.04900015891207748,0.030695603866520697,0.01400106153945471,0.003669592306417506,6.610696135189607e-05,0.1634404876496162,0.008375906454404922,0.18368762807311392,0.05156431407294804,0.011038110651061162,6.610696135189607e-05,0.682059787085465,0.1089708055934515,0.6761685559994385,1.0,0.8951509150869843,0.6204823526171177,0.9787817702586196,0.17806734679786468,0.28419575002495956,1.459925574486685e-19,0.00803179902423402,0.011604498530303584,0.27460961930628536,0.13523943816416933,0.0410491910678912,0.032811692698613566,0.01099654707252787,0.021066981110716258,0.7757020567826417,0.263837956816886,0.08579756628555993,0.09083678677481186,0.3804624726131175,0.16198767770914516,0.15469849172960853,4.395818474667433e-27,0.06548073154690565,0.04067667398629343,0.0023505493533655143,0.25030814703783716,0.394559959149519,0.9785602814193519,0.9918330729797472,0.03484012740980413,0.9784459878036922,0.0069240091597769365,0.00687527743334452,0.01685783255310208,0.2320164254715967,0.029908733737082832,0.9999338930386481,0.1404174499915834,0.19274700629932986,0.15803316457065825,0.4679658029682848,0.7290415166974034,0.16913295227095315,1.2372383264919698e-22,0.03936835336611012,0.338840973396589,0.0188676803880149,0.5716245061642983,0.3212442908255214,0.021439718580648054,0.00013512799601883227
0.048963365882681235,0.030544249164754695,0.014013030679392476,0.003678298838536806,6.610696135189607e-05,0.1625785198236874,0.008336202127516703,0.18378139951088615,0.05137043393036254,0.010674676227185745,6.610696135189607e-05,0.6824052749494288,0.10929766662448398,0.6760854363088903,1.0,0.8947890183905184,0.6206296838982571,0.9773203006324815,0.1782318037362296,0.28426502015156496,7.799180913880483e-20,0.008061777853255346,0.011599836156771426,0.2746278926890961,0.13527841695256587,0.041046152676831184,0.03282498471017235,0.01100241646933156,0.02106846560202352,0.775407686321761,0.2638186513393879,0.0858345922154286,0.090816325294387,0.3805261751254028,0.1612014348922161,0.15429883434029604,1.4269641107747293e-27,0.06500949566263918,0.03975013343351698,0.0021062616392307576,0.2500605191779925,0.39419613940899456,0.978720555581687,0.9918218215754833,0.03487024978622218,0.9801765295129637,0.006212041307076173,0.006886787477454383,0.016867483515830502,0.23401251687509264,0.029925234006220578,0.9999338930386481,0.14137781823719214,0.19318588583256321,0.15816232070720182,0.46738554053083375,0.7295008984832999,0.16961572935081368,5.709321971099737e-23,0.04020148594684242,0.339620182668226,0.02057343772828765,0.571707677085778,0.32153884043944053,0.021279444418313,0.00011640057126142209
0.048924523430659686,0.030389668945495503,0.014022574942666403,0.0036866337957660983,6.610696135189607e-05,0.16165203920384297,0.008315450523907407,0.18384799256873574,0.05116029787485987,0.010300221131935777,6.610696135189607e-05,0.6827520076690002,0.10960573686298393,0.675980165605873,1.0,0.8944182122139037,0.620727587917836,0.9758116099993707,0.17838270801929337,0.284309619999208,4.1738636230905144e-20,0.008085140578202525,0.011594816643674984,0.2746382208957544,0.1353090696180356,0.04104212943128216,0.03283734309208884,0.011022607175677943,0.021073737899434678,0.7751198623271455,0.2638023077175631,0.08587053164042632,0.09079840164443914,0.3805875713626981,0.16045324522134627,0.15391862456546282,4.635678269647406e-28,0.06457503369044505,0.038856395970732586,0.001873511194172021,0.24982489909193006,0.39386399989599696,0.9788670283875347,0.9918146469515893,0.034902135450488,0.981829527996243,0.005504512916291709,0.006931407305567392,0.016876095720215683,0.23588081392488935,0.029945405038785112,0.9999338930386481,0.1423407404966972,0.19353288439644395,0.15822930289863799,0.46677665513771266,0.7299410179156698,0.1701012098286642,2.642106292567516e-23,0.041006754095651195,0.3404160161114315,0.02231487880645731,0.5717923928887766,0.321826380104795,0.021132971612465384,0.00010021247020816584
0.04888544000466306,0.030234759244561506,0.01403106065350211,0.0036933028779655647,6.610696135189607e-05,0.16067688661153914,0.00830171486616091,0.18388973743708475,0.05093486862780247,0.009918665593431618,6.610696135189607e-05,0.6831007691577996,0.10988904930414219,0.6758553986561574,1.0,0.8940387773027569,0.6207823771948456,0.9742715502204442,0.1785173461084989,0.28433579825280847,2.2380782618814534e-20,0.008101541685284404,0.01159022129196308,0.2746458881698907,0.13534345831282135,0.04102832227424906,0.03284909803444883,0.011030047977711446,0.02107786352012688,0.7747930758678815,0.2637953948212357,0.08592780500429012,0.09077635889374422,0.380651685902491,0.15971562653416257,0.1535521651418673,1.5071695796034002e-28,0.06417676778137324,0.03799139205846423,0.0016541754991500532,0.2495931629753905,0.3935587134843061,0.9790092627219112,0.9918122429091583,0.03493750098288526,0.983411480881856,0.004808206814119206,0.006957166903064352,0.01688534400019001,0.23755364429713044,0.029963303451106694,0.9999338930386481,0.14329184098224504,0.1939544568959099,0.15831574068912738,0.46617308300865923,0.7303953241616953,0.1705924362019753,1.2261463537560679e-23,0.041784454915869906,0.3412262307466902,0.024074274280405813,0.5718894909161106,0.32210548826288543,0.020990737278088718,8.62154055572946e-05
0.0488461379123303,0.03006941543907216,0.014038649141444683,0.003699987637906236,6.610696135189607e-05,0.15978592205316058,0.008291134378303033,0.18394036015378942,0.05069870786065338,0.009525408324878176,6.610696135189607e-05,0.6834829579414277,0.11015251506397052,0.6757118096090718,1.0,0.893651569076232,0.6208131184690306,0.9727142563150186,0.17863808008800475,0.28434462928461585,1.2026951159088798e-20,0.008116589593090867,0.011585425728329924,0.27464877135757887,0.13536916067499785,0.04101449914783683,0.03286022032157135,0.01103617861836524,0.02108050995735361,0.7744798973966999,0.26378802731415024,0.08597862140462688,0.09075661881475315,0.38072241584160865,0.15900676953824508,0.1532015515832105,4.9041400118059106e-29,0.0638112882147239,0.03715456752750126,0.0014497763098991554,0.2493698823212183,0.3932763957988875,0.9791392117879054,0.9918092538082275,0.03497485258775123,0.9849129756074126,0.004117263890984293,0.006975407119274806,0.016894229851681132,0.23911868700300754,0.029980522125522494,0.9999338930386481,0.14423785820017837,0.1944077308448489,0.15841670285787515,0.465577330382308,0.7308407153977844,0.17108663880771774,5.706905184965855e-24,0.04253714270904416,0.3420323140034682,0.025835967375082227,0.571992037590777,0.3223789749164967,0.020860788212094528,7.415659868156499e-05
0.0488067677765223,0.029913510175369633,0.014045424758852322,0.0037067640664104973,6.610696135189607e-05,0.15898202377129644,0.008281976789694442,0.1839470522528509,0.05045277374771362,0.009125903683884922,6.610696135189607e-05,0.6838261534358108,0.11039503521824358,0.6755416053994723,1.0,0.8932490215479719,0.6208124508394307,0.971149441475389,0.1787431879413303,0.2843327596552095,6.475465177114446e-21,0.008130759210800451,0.011580288491457365,0.27464884984840576,0.1353877948873808,0.04100199515089042,0.03287023125990951,0.011041366996420283,0.021081865821405373,0.7741445405852373,0.26377134861421864,0.08601928789116929,0.09073755928984566,0.3807991212304471,0.1583309919061606,0.1528675220374146,1.597212878551581e-29,0.06347857204894636,0.03634413090663579,0.0012615566116331142,0.24915550302192002,0.39301423743098174,0.9792574789352633,0.991805470133831,0.035012871718295556,0.9863335145922102,0.003398514015370207,0.006990269743852117,0.01690209024406121,0.24059301548916098,0.029996886424039585,0.9999338930386481,0.14522442092118387,0.1948909645364607,0.1585339511913939,0.46497539706681007,0.7312739728755958,0.1715908725631132,2.6646327866783414e-24,0.0432724064030818,0.34284341825393344,0.02758900191297794,0.5721013090367498,0.3226530029138088,0.02074252106473681,6.377065536856551e-05
0.048768584436355636,0.029759770958243312,0.014051795353323343,0.003713509700497469,6.610696135189607e-05,0.1582518438360048,0.00827390206596228,0.18394520018591548,0.05019890888551876,0.008722523327037358,6.610696135189607e-05,0.6841486881445025,0.11061966138583963,0.6753627787256432,1.0,0.8928436091200422,0.6208008591887814,0.9695945055990689,0.17883683389915306,0.2843090139695564,3.4923811656442705e-21,0.008143909088156338,0.011574999776989253,0.27464219791670325,0.13540230909460854,0.040990651493300445,0.032879313800048514,0.011045702407219119,0.021082339009029782,0.7738067433645002,0.2637459411295178,0.08605124319099013,0.09071831998462414,0.38088032969285646,0.15768942250603815,0.15254592303531975,5.206424456379075e-30,0.06317131335886775,0.035558178436814386,0.001089957705108396,0.24895120518194291,0.39276875398758776,0.9793648537735382,0.991801261190844,0.03505328773191264,0.9876332224234122,0.0026901651502625624,0.007003245814702341,0.016911467357075084,0.24198716266150724,0.030014310532652026,0.9999338930386481,0.14618489950097566,0.19538874857707964,0.15864676103367417,0.4643992108494834,0.7316909161081222,0.172091298239037,1.2479239723326328e-24,0.04398507752109008,0.34364096237440434,0.029315536695822642,0.572211960918904,0.32292223204285586,0.020635146226461794,5.482972099971653e-05
