0_primarytoI_spread,0_primarytoII_spread,0_primarytoIII_spread,0_primarytoIV_spread,0_primarytoV_spread,0_ItoII_spread,0_IItoIII_spread,0_IIItoIV_spread,0_IVtoV_spread,0_late_p,0_C01_coef,0_C02_coef,0_C03_coef,0_C04_coef,0_C05_coef,0_C06_coef,0_C09_coef,0_C10_coef,0_C12_coef,0_C13_coef,0_C32.0_coef,0_C32.1_coef,0_C32.2_coef,1_primarytoI_spread,1_primarytoII_spread,1_primarytoIII_spread,1_primarytoIV_spread,1_primarytoV_spread,1_ItoII_spread,1_IItoIII_spread,1_IIItoIV_spread,1_IVtoV_spread,1_late_p,1_C01_coef,1_C02_coef,1_C03_coef,1_C04_coef,1_C05_coef,1_C06_coef,1_C09_coef,1_C10_coef,1_C12_coef,1_C13_coef,1_C32.0_coef,1_C32.1_coef,1_C32.2_coef,2_primarytoI_spread,2_primarytoII_spread,2_primarytoIII_spread,2_primarytoIV_spread,2_primarytoV_spread,2_ItoII_spread,2_IItoIII_spread,2_IIItoIV_spread,2_IVtoV_spread,2_late_p,2_C01_coef,2_C02_coef,2_C03_coef,2_C04_coef,2_C05_coef,2_C06_coef,2_C09_coef,2_C10_coef,2_C12_coef,2_C13_coef,2_C32.0_coef,2_C32.1_coef,2_C32.2_coef,3_primarytoI_spread,3_primarytoII_spread,3_primarytoIII_spread,3_primarytoIV_spread,3_primarytoV_spread,3_ItoII_spread,3_IItoIII_spread,3_IIItoIV_spread,3_IVtoV_spread,3_late_p,3_C01_coef,3_C02_coef,3_C03_coef,3_C04_coef,3_C05_coef,3_C06_coef,3_C09_coef,3_C10_coef,3_C12_coef,3_C13_coef,3_C32.0_coef,3_C32.1_coef,3_C32.2_coef
0.7739560485559633,0.4388784397520523,0.8585979199113825,0.6973680290593639,0.09417734788764953,0.9756223516367559,0.761139701990353,0.7860643052769538,0.12811363267554587,0.45038593789556713,0.18688741008990659,0.35246581403728483,0.46673115430263473,0.43735218391472835,0.252730385165553,0.2397143304728874,0.29504169643739164,0.03209594991758405,0.3002030162513575,0.3086136218904819,0.3557917550271549,0.21577335204945533,0.3878757272244512,0.8931211213221977,0.7783834970737619,0.19463870785196757,0.4667210037270342,0.04380376578722878,0.15428949206754783,0.6830489532424546,0.7447621559078171,0.96750973243421,0.32582535813815194,0.18671689296838848,0.17858073324811596,0.13734582504114948,0.06906186820027727,0.2711349558678607,0.239366874881864,0.3563441730019746,0.21985912511810593,0.30203370110078753,0.34213001352108785,0.14660239134950037,0.506534085698551,0.3215712328280177,0.38747837903017446,0.2883281039302441,0.6824955039749755,0.1397524836093098,0.19990820247510832,0.007362269751005512,0.7869243775021384,0.6648508565920321,0.7051653786263351,0.7807290310219679,0.23129999389092004,0.2163027639370864,0.10133739547188157,0.06088030478930986,0.3809660097169854,0.4969598084206599,0.30070824813143393,0.3847449187497634,0.2302285856094839,0.2704634677503999,0.26245154304033,0.1849916153129464,0.01231432401644547,0.43671738923236236,0.2145846728195292,0.40852864372463615,0.8534030732681661,0.23393948586534075,0.05830274168906602,0.28138389202199654,0.2935937577666836,0.6619165147268951,0.5570321523412783,0.3950957030507849,0.2526506887775129,0.29458562518433423,0.43270564309568466,0.09516864924960085,0.023958986224588717,0.04790588242919974,0.36330000621454656,0.1675346970383711,0.07879289683803042,0.23515431058301484,0.09270094693904728,0.2782387159310856
0.019913635106187204,0.1815537651136372,0.07435986607655076,0.006872838054827,0.008652508737350956,0.1497640642213523,0.999934460521361,0.24132606958441868,6.610696135189607e-05,0.4281730972035931,0.11250860412894527,0.2256996206238254,0.2605171673089723,0.33868408460130656,0.136181421727429,0.13404987393218232,0.1345495309632243,0.024401540124408434,0.23760334030450747,0.2385764217056671,0.2842742699583507,0.14606394109820708,0.24411849801576294,0.03234893730288509,0.20450553022405502,0.013545370574680487,0.01148046522460564,0.006831764242045361,0.33742721604235876,0.17819175658251066,0.03311271015244252,0.03223903770908217,0.38453290702543846,0.5240987060120466,0.2913698957328726,0.5252368294071029,0.3113656499156661,0.4570886116104602,0.6495329417252034,0.45390418739733013,0.5720246363162023,0.45413030607931326,0.539620983469698,0.4408169972797714,0.6964743050004256,0.6271763648274479,0.010615767714437504,0.25952635366794546,0.07706815982895872,0.0029486800908071877,0.026940786942911115,6.610696135189607e-05,0.2758692841713297,0.12532297768578668,0.3964792595336332,0.9999999998858198,0.2468541351909321,0.30198291974606517,0.07857238889984548,0.0915962585539817,0.3447893099428452,0.20894276798275674,0.3881733191264336,0.28249620007895393,0.21702008081984198,0.17743501484249796,0.15782293138042167,0.11397984907912208,0.0047542336172307085,0.00798056686998396,0.074842103752284,0.02851484106824935,0.058641063264756654,0.010683062059113154,6.658941449630468e-05,0.1846065368925819,0.12701913717598962,0.12558210764165206,0.9999986265506403,0.11653855466807612,0.1809475638972369,0.13567361438407938,0.2583540069290457,0.06194065671926568,0.0074744163598574965,0.02337296251301195,0.12107762348043541,0.0912462727963372,0.04436757998213698,0.1170858013814563,0.043481904822245294,0.12395090353955852
0.021473615351064183,0.12583985111484436,0.06785063861901192,0.004339845738731556,0.00624669569223363,0.17121026333754946,0.9999515643953379,0.24377759544580796,0.012311083831697435,0.3819660112501051,0.10419707161301367,0.21289817417273169,0.21148568679174873,0.32874734462005684,0.1230710661076627,0.1270725731762715,0.11944443354615972,0.02507341582356399,0.2774997971353077,0.2725392737839143,0.3017912774837574,0.17176961149625602,0.23959456701447304,0.025907914623040425,0.18523731782378267,0.01816759322668338,0.01109409055894395,0.004855256790327182,0.33746775388871464,0.13486985440306817,0.03368840665001574,0.019324292507684356,0.3776782528621185,0.5987133737465049,0.34164518044690895,0.656719746909879,0.38344887363064256,0.5636519766042597,0.7879772639112742,0.4806361036510088,0.6250395066708868,0.38952426580253974,0.5039870235453217,0.5137422724208313,0.6904791616197181,0.6395284125309902,0.01650001792860597,0.29213383100882234,0.09371918924037864,0.0028442391961112957,0.03249119042374361,0.07929346027147803,0.20634473417885343,0.10824651487610187,0.23689007168425566,0.765914134320608,0.22053466625284343,0.25224572633554854,0.02900569114464328,0.060458528183295834,0.24700906425322183,0.07916988433132385,0.3817120222446735,0.2610955238790524,0.23873607352215945,0.1712837035040851,0.07455863091758091,0.09158457260961905,0.0017793426693191062,0.009978493996118611,0.05857377183286147,0.025742912866907323,0.029027247621620737,0.005601314960334078,6.610696135189607e-05,0.1005113582021934,0.0776431815332008,0.057114928445757475,0.9999334179008265,0.07655488838763806,0.1932109190448108,0.10278887515372909,0.22734525356600477,0.06626789303485574,0.005780278581130437,0.018207440558158053,0.08879155362649684,0.0942398635399931,0.05218999916667906,0.10990781917783055,0.04616665427440682,0.11909767778521763
0.02071767195927485,0.10619279120799488,0.05987700156118562,0.0032149875642411025,0.004682021154526948,0.17783698453166055,0.9999368268033665,0.254272894832173,0.03904127352885899,0.37665952043021833,0.08567973018438879,0.20371640267697244,0.19287584160448346,0.32805002397165506,0.11271981773173116,0.12959515751766795,0.09817897842161175,0.024151994802158266,0.2828261296475816,0.27945687101618577,0.3311554647717584,0.19535511046470155,0.2516099622384731,0.023276220044710614,0.1797122640796254,0.019150940575030667,0.011768465317967125,0.0034297636246573946,0.324245220945476,0.12511055341629057,0.03596244016622943,0.01958173726336565,0.38848312276795266,0.6120517504530303,0.3627468951191887,0.6990666621138337,0.40078399488418176,0.6180050632678121,0.830011139846093,0.47152266854364955,0.6191663616923172,0.31622484468128026,0.452142280760405,0.52070466681315,0.6604926192916222,0.6148495059170153,0.022806210329853846,0.37544239168960764,0.1330694674982743,0.00490566502144947,0.04068368313884219,0.167113279387539,0.15174752744269132,0.1282189316049694,0.20527702847241333,0.6134021842032229,0.2468831312946175,0.21888601704481195,0.010778310940943949,0.04370005664643684,0.19859816690028007,0.03488230745607163,0.4162671348707039,0.2834932843213688,0.3057961606426334,0.20833955265276857,0.034469273925289035,0.09174530343301539,0.0007408452943632097,0.012016689341290075,0.05189870469078646,0.023401317485916426,0.022695847435743422,0.0034037205131004092,6.610696135189607e-05,0.0761852804749563,0.04516058697261894,0.045501203852255416,0.9999388858706729,0.0553853880679635,0.21465068515902697,0.0972791853407389,0.22746592449772624,0.07067695210017672,0.005511395180167372,0.014031218164034798,0.07318835918415575,0.09515286502850484,0.060061295570640716,0.11367059448980277,0.05240696681066089,0.13279968655014843
0.01705499505280997,0.08265970952180468,0.049156489904615616,0.0021585589940086984,0.003312469658854789,0.1632768588906213,0.999964368776834,0.23079279376493927,0.051374260861511985,0.4100673089852111,0.06447611857546554,0.19571786826925586,0.18516806213417203,0.3290206268628119,0.1046463317429167,0.13741073438384888,0.07722408736855556,0.02282386637188004,0.26719196753730956,0.2711384314590738,0.3683880490122849,0.21655198802939085,0.2696249157937769,0.020957314191460692,0.1665056582623113,0.01866524726482128,0.011508936046449324,0.002327988703487237,0.28927903520025544,0.11342570490959723,0.0323556860711315,0.014417216468344058,0.425021860634578,0.6044991378393232,0.3738952404735017,0.7069696025158558,0.3980969251606162,0.6543765986318155,0.840877794887121,0.4538170723777431,0.6060340243078814,0.25916461456496576,0.4096515825878568,0.4986413552053453,0.6324639229148944,0.578339532536004,0.027403450813735037,0.45883093812588893,0.17468369409963108,0.008165821944930329,0.046199188290913046,0.28870247665264465,0.09043508019616964,0.14605253798745904,0.17278166199130218,0.5215880182473361,0.2913266505037179,0.18910761245747076,0.0036024588914466077,0.032395200523910275,0.1661339884524365,0.015913274818907686,0.45815283421278086,0.30805669006896363,0.3821508296063024,0.25498649968725295,0.014066841062283848,0.09310703429048307,0.00027271118110198803,0.014170418389510313,0.04467653763840253,0.022214026324516606,0.018968220525137088,0.0023281196163794627,6.610696135189607e-05,0.06484057767027693,0.020714342593028113,0.03916044134167972,0.9999405752990232,0.039698093081493344,0.24127927879977162,0.1042598764585256,0.2404872474526617,0.07484308117283128,0.005798195910122473,0.010806006040920543,0.06308541925127498,0.09149258829142227,0.06422348626581657,0.11890375472008596,0.057877054765231736,0.15176284048911715
0.01259114756874923,0.05972708367679904,0.03902032287558565,0.001347444682437738,0.002513252721180513,0.14439069440619098,0.9999626738735771,0.19098316465483997,0.05126094113934232,0.46942637762212786,0.04404071755201953,0.18602544815810948,0.1811437521660631,0.3268126658185179,0.09658956586192591,0.1491470790991897,0.05933043870851406,0.02152907448608992,0.23936311760732715,0.2542636731399069,0.41592114333518687,0.23519430010816678,0.2943460495840469,0.019739788426559237,0.15661711373969095,0.01841903687448498,0.011063170750108165,0.0017381199587024223,0.26011728782325977,0.10152457375505838,0.0263935599863913,0.00878719959250996,0.46284930931782886,0.581225096672893,0.37920533366294346,0.6960609831133665,0.38667372965664437,0.6791139141792707,0.836572927999657,0.4342335639068161,0.5928806435344771,0.21450265011193512,0.37450959225125485,0.45641682165717506,0.6065764978653952,0.5322233974820726,0.029723805843480135,0.5200589102521834,0.20786760211949806,0.012599650908674712,0.04749477559073748,0.4648992558018079,0.03254911310576719,0.15522329701656118,0.1435440830448862,0.46905628097825675,0.347093116564176,0.16835752682232938,0.001112023140502881,0.025365640745789498,0.14697724409246685,0.007747796310844514,0.4980224674892882,0.32952850383790294,0.46089630953615485,0.3071586894008414,0.005535576119177535,0.09655994213334305,9.097844494052465e-05,0.01674859632541993,0.037734857873477516,0.02213894839895444,0.01612932706399628,0.0018860453916718868,6.610696135189607e-05,0.058479393396839725,0.005100056243811161,0.03627850129388265,0.9999384453882693,0.02764106921091148,0.26641169135661763,0.12168324158006753,0.26114796377904825,0.07731927586633658,0.00653219659030884,0.008413529895381603,0.05606177814153003,0.08523792274458299,0.06406804520799696,0.12212645888846058,0.061669259893094866,0.17333957448894
0.008399511819262708,0.04095917951257402,0.030108568026063397,0.0007999172266363713,0.0020390583568650265,0.13048918225744652,0.9999514831314532,0.1528467836020799,0.047739637573033386,0.5521593970718196,0.027630973017813386,0.17356866606403343,0.177040873778973,0.31754431322408255,0.087619553780789,0.16458730232174557,0.04587834768007588,0.02046762219883153,0.20893861746410045,0.23379111701010613,0.47678800133255367,0.2506505648406705,0.32773746642953816,0.019930575778775328,0.1549270435259302,0.018872930007070358,0.010789080657223058,0.001558034987403109,0.24891843476947648,0.09467972105982811,0.022890398952100075,0.004894648180316021,0.48236218234090866,0.548366285125742,0.3808437213941418,0.6708410571639801,0.3720354913832085,0.6957956792272575,0.8234699033839085,0.41731630108340567,0.5816639433495214,0.17867430091411798,0.34338943507134984,0.39923414441423405,0.5819139888572769,0.47728957609278444,0.029519606825747214,0.5469604575516951,0.21866640534371448,0.017113723232650282,0.0443590046060302,0.5884283562130264,4.396459219103055e-07,0.15141373329388338,0.12258196313485824,0.4531714651358162,0.40520434344617096,0.15837708375683307,0.0003308763091085972,0.021329925150956334,0.13845523364243967,0.004098332497487292,0.5301185057480988,0.3468591125640943,0.5343526735726288,0.3627399254309852,0.002304097035617909,0.10393836735748513,2.9533684584217995e-05,0.020004672814660472,0.03161618139026668,0.02247366519626079,0.013568719284396253,0.001795307285405103,6.610696135189607e-05,0.05682710055628924,6.610696135189607e-05,0.03739169386559983,0.9999345092316991,0.018798398410273646,0.2872105287849917,0.15178719274793825,0.28909027024175266,0.07812953334951385,0.00784446179685871,0.006686845488419656,0.0510093218875528,0.07803440804915271,0.0600795224875589,0.1216737572175943,0.0634970789445675,0.19494342379309315
0.00486075760798509,0.027091508541433117,0.02246705788112853,0.0005016530862287276,0.001624007613373619,0.1209852247378537,0.9999468658907308,0.11946221921588118,0.04197517945148605,0.6635451561100187,0.016471848943841592,0.15920058660251024,0.17045667649653162,0.2984272437714024,0.07809303315583212,0.18348910630955081,0.03642235070361446,0.0197215907403005,0.18330650936413387,0.21358106752408232,0.5499574755369524,0.2623623975408813,0.37043334341000006,0.020409801001202186,0.15490478225259607,0.019944064380183514,0.010459550213422517,0.0015692921952262975,0.24447121541919015,0.08755188972829028,0.021579276454914562,0.0021153907549376493,0.49900553843144174,0.5133701081299341,0.3803457638911529,0.6304643378945494,0.3570940600659931,0.707620164477642,0.8040912458969481,0.403848309626355,0.5730382172303125,0.14996418559347327,0.3147174380645975,0.3325477261568069,0.5586166197070893,0.4163268553021789,0.028533140130320944,0.5539559827327522,0.21745538063653966,0.020772444646853752,0.04132244164833475,0.6065165851119165,6.610696135189607e-05,0.14538634768194886,0.1103551660496909,0.444324816105782,0.4573919837535469,0.1565189258166692,9.678750985907031e-05,0.019084133953569327,0.13594243361088962,0.0022914996220095678,0.5542722888763394,0.3598750325345117,0.5950090928223074,0.4177798382411637,0.0010448366400355328,0.11536621584793379,9.912452847584302e-06,0.02412151083955496,0.026379946237074264,0.02305996580536371,0.01149216475633592,0.0018860453916718868,0.0035595877331847346,0.058641977979088426,6.610696135189607e-05,0.042303611203806095,0.9981499373641011,0.012766059172677431,0.30393472368966773,0.19898219809906,0.3253945622090353,0.07834436875563623,0.010128148171491444,0.005457050793691211,0.047365159494875436,0.07172021222008543,0.05392165617015648,0.11644996166620522,0.06365476690409555,0.2132298888349735
0.0023208760092375633,0.017718576754389762,0.01597613245511857,0.0003062674254105414,0.0011354039825627671,0.111916331226738,0.9999434711087335,0.0893329888741948,0.03256551804894557,0.8213412562940766,0.009618308970572795,0.1442114217112504,0.16034164717109878,0.2698073850071057,0.06855221196402761,0.20445385641398284,0.02974850555592388,0.01921914253509488,0.1636685827778149,0.19553980844269736,0.6280696686409105,0.26968899482664677,0.4205014087891263,0.020982505255294548,0.1573402901538134,0.02157383899546481,0.010243718242330661,0.0016665739973512341,0.24844833578166278,0.079047042185796,0.021818985361975133,0.0001353235507710979,0.512854643542681,0.48233051589350195,0.37983685700180836,0.5740873678280582,0.34372557079307425,0.7172106292786322,0.7800905947170466,0.3947982333319483,0.5674772220811242,0.12768254257590922,0.28950536155869555,0.2659554176363882,0.5375145036285062,0.35585194612787835,0.027543460243690684,0.5504273213570834,0.21567272888663094,0.023447025585918196,0.03918813668105411,0.5611922497512492,6.610696135189607e-05,0.14003075482303903,0.10456280141313994,0.43744047039475875,0.49923277523511206,0.1585703484618686,2.7735204394819976e-05,0.017811846224943795,0.1354977211070518,0.0013222111835049163,0.5708831217238265,0.3687693243028158,0.6417301270317605,0.4677666973978141,0.0005317000470906993,0.13043057709465378,3.5989255073083766e-06,0.029585987743675345,0.02280103263738117,0.024090839677085352,0.010434264727431145,0.0020704346826579184,0.009972433407404557,0.06294951930931407,6.610696135189607e-05,0.05101912272459315,0.9597955122083489,0.00881839990081314,0.31738137282507267,0.26554324979644817,0.3686551979748762,0.07873943765028839,0.014133337685465744,0.00457013938830138,0.04453431108096507,0.0669187476145155,0.04718813260079304,0.10544321367561064,0.06236592445019324,0.22364304615748806
0.000948046633269189,0.012341605709083473,0.01143339361031304,0.00020640220241043263,0.0007331389793329025,0.10403420522841383,0.9999430919901566,0.06698073206080744,0.02237025325394627,0.9999954370162131,0.005655180860308392,0.13061239282633708,0.1490171459399377,0.23736137842300684,0.06002858750666745,0.22673325574769893,0.02500556158774065,0.019021193198522073,0.14922416065814773,0.181101004317624,0.7020378319069445,0.27442213644902247,0.47465276407674484,0.021404273948691207,0.16155142544024606,0.02365697082265299,0.010195786982670535,0.0017757193435138316,0.2612730636771395,0.07024120202037176,0.023140302824576863,6.610696135189607e-05,0.5236672509016609,0.4581650158233088,0.3792801001195567,0.5026837999800242,0.3309275606875885,0.7250495453094514,0.7510726055561564,0.3899760360319882,0.5644959125872355,0.11041369964498789,0.26832370069438505,0.207888719365852,0.5179692322232264,0.3010391840282715,0.026615306301584558,0.5391942383211307,0.21475170108951375,0.025165961922264828,0.03776627354334241,0.5391983596400872,6.610696135189607e-05,0.1362232499299695,0.10223863949513985,0.4311619821087705,0.5299321657442478,0.16136592062387117,7.855493508659792e-06,0.017007948867628672,0.1347431378507884,0.0007742126724936393,0.5810963890284438,0.3742108940513284,0.6771986182498019,0.5097829556727806,0.0003152493486888437,0.1475462106073855,1.4409493803234385e-06,0.03634307232121803,0.020409056618333896,0.025382728847652823,0.010097511565973088,0.002308054503702563,0.018998962426317857,0.06848601631497094,6.610696135189607e-05,0.06172295505039133,0.9054230104938512,0.006247637572134937,0.328741586430235,0.34829119858652946,0.414703112021776,0.08017872933309271,0.02141992602365106,0.003922013351827322,0.04227200016291395,0.06316352144706255,0.04079233931521041,0.08975819937851466,0.06006242072036564,0.22430661094560334
