,value
0_primarytoI_spread,0.00021217168423434433
0_primarytoII_spread,0.017396304454923826
0_primarytoIII_spread,0.006289515785932855
0_primarytoIV_spread,0.0014494813563578476
0_primarytoV_spread,6.610696135189607e-05
0_ItoII_spread,6.610696135189607e-05
0_IItoIII_spread,0.21487602249856005
0_IIItoIV_spread,0.0010942728052073932
0_IVtoV_spread,0.07170544047593189
0_late_p,0.9999380720448621
0_C01_coef,0.0
0_C02_coef,0.04572721487931312
0_C03_coef,1.8536115880063806e-08
0_C04_coef,0.19564297695132446
0_C05_coef,0.1291378469936979
0_C06_coef,0.4329876564323034
0_C09_coef,0.08149190521851718
0_C10_coef,0.23878682141375412
0_C12_coef,0.12532653070105365
0_C13_coef,0.1684408414396961
0_C32.0_coef,0.9958284597047132
0_C32.1_coef,0.5240361849136922
0_C32.2_coef,1.0
1_primarytoI_spread,0.021883875649603445
1_primarytoII_spread,0.47724898434569785
1_primarytoIII_spread,0.032981744121818334
1_primarytoIV_spread,6.610696135189607e-05
1_primarytoV_spread,0.00634868999417124
1_ItoII_spread,0.9999338930386481
1_IItoIII_spread,0.056751905295604824
1_IIItoIV_spread,0.0166315260628538
1_IVtoV_spread,0.9999521555100416
1_late_p,0.5441671557012716
1_C01_coef,0.8402234229543282
1_C02_coef,0.2870720074026748
1_C03_coef,0.02648216123928156
1_C04_coef,0.156899237702209
1_C05_coef,0.46328525432446527
1_C06_coef,0.03468183350799512
1_C09_coef,0.5822233550005594
1_C10_coef,0.5513230989287408
1_C12_coef,0.022281312298334306
1_C13_coef,0.11634994186870047
1_C32.0_coef,0.0
1_C32.1_coef,0.19823759747850192
1_C32.2_coef,0.0
2_primarytoI_spread,0.03188214929324519
2_primarytoII_spread,0.3993767428743904
2_primarytoIII_spread,0.24972137766819388
2_primarytoIV_spread,0.10368042011832063
2_primarytoV_spread,0.0516032584069789
2_ItoII_spread,0.14335785071887444
2_IItoIII_spread,0.16819365755339544
2_IIItoIV_spread,0.058156007679490675
2_IVtoV_spread,0.008128147684631885
2_late_p,0.31249241722974347
2_C01_coef,0.150565778899411
2_C02_coef,0.09247394345908122
2_C03_coef,0.0
2_C04_coef,0.05979003254088081
2_C05_coef,0.11342143521726164
2_C06_coef,0.0
2_C09_coef,0.2998279935640518
2_C10_coef,0.20987513247454628
2_C12_coef,0.8523921570006121
2_C13_coef,0.7152092166916034
2_C32.0_coef,0.004171540295286736
2_C32.1_coef,0.27772621760780586
2_C32.2_coef,0.0
3_primarytoI_spread,0.08470108200882424
3_primarytoII_spread,0.0003133669159003296
3_primarytoIII_spread,0.020961028716540854
3_primarytoIV_spread,0.005102730319579025
3_primarytoV_spread,0.001664265296999849
3_ItoII_spread,0.1698490686095463
3_IItoIII_spread,0.07940743480275993
3_IIItoIV_spread,0.0436194821019628
3_IVtoV_spread,6.610696135189607e-05
3_late_p,0.8782367287014708
3_C01_coef,0.009210798146260815
3_C02_coef,0.5747268342589308
3_C03_coef,0.9735178202246025
3_C04_coef,0.5876677528055858
3_C05_coef,0.29415546346457533
3_C06_coef,0.5323305100597014
3_C09_coef,0.03645674621687151
3_C10_coef,1.4947182958924896e-05
3_C12_coef,0.0
3_C13_coef,0.0
3_C32.0_coef,0.0
3_C32.1_coef,0.0
3_C32.2_coef,0.0
