,value
0_primarytoI_spread,6.610696135189607e-05
0_primarytoII_spread,0.015528598969452377
0_primarytoIII_spread,0.003317352705378047
0_primarytoIV_spread,0.0004531038537848225
0_primarytoV_spread,6.610696135189607e-05
0_ItoII_spread,0.9999351113762914
0_IItoIII_spread,0.12893049886495425
0_IIItoIV_spread,0.06667604588558068
0_IVtoV_spread,6.610696135189607e-05
0_late_p,0.9999348137572625
0_C01_coef,0.0
0_C02_coef,0.043007934989261545
0_C03_coef,0.06053063593637478
0_C04_coef,0.015306147057324885
0_C05_coef,0.0014442604747849747
0_C06_coef,0.2980745131604495
0_C09_coef,0.08765977259392184
0_C10_coef,0.2896218804224587
0_C12_coef,0.10729856072272387
0_C13_coef,0.1387630293646538
0_C32.0_coef,0.9867237978947021
0_C32.1_coef,0.41465591334033935
0_C32.2_coef,1.0
1_primarytoI_spread,0.038548600936518115
1_primarytoII_spread,0.7644110886532879
1_primarytoIII_spread,6.610696135189607e-05
1_primarytoIV_spread,0.009011178931668277
1_primarytoV_spread,0.015080546928416627
1_ItoII_spread,0.9999338930386481
1_IItoIII_spread,0.20690947153769434
1_IIItoIV_spread,0.2144159196419378
1_IVtoV_spread,0.3827817336693992
1_late_p,0.3893210620419648
1_C01_coef,0.8333551616337428
1_C02_coef,0.2014528324235358
1_C03_coef,7.391877961236216e-06
1_C04_coef,0.00018386147325940742
1_C05_coef,0.32477181245214404
1_C06_coef,0.010062399965471973
1_C09_coef,0.6375321668458358
1_C10_coef,0.3788536348982048
1_C12_coef,0.0024381478027881544
1_C13_coef,0.019406803528165362
1_C32.0_coef,0.0
1_C32.1_coef,0.09589056643401003
1_C32.2_coef,0.0
2_primarytoI_spread,0.011990343409649499
2_primarytoII_spread,0.29998073274725945
2_primarytoIII_spread,0.18514097455779757
2_primarytoIV_spread,0.04903414460147049
2_primarytoV_spread,0.031074340454939033
2_ItoII_spread,6.610696135189607e-05
2_IItoIII_spread,0.059655835757672145
2_IIItoIV_spread,0.027946388724339917
2_IVtoV_spread,0.052930011007236016
2_late_p,0.3849999247713881
2_C01_coef,0.08759796069980812
2_C02_coef,0.08548932658504868
2_C03_coef,0.0
2_C04_coef,0.1153132889837831
2_C05_coef,6.505076003462009e-07
2_C06_coef,0.0
2_C09_coef,0.21320142167702125
2_C10_coef,0.2793568835212433
2_C12_coef,0.890263291474488
2_C13_coef,0.8418301671071808
2_C32.0_coef,0.013276202105297903
2_C32.1_coef,0.4894535202256507
2_C32.2_coef,0.0
3_primarytoI_spread,0.07725698649253636
3_primarytoII_spread,0.045008546267122494
3_primarytoIII_spread,0.01691121313555272
3_primarytoIV_spread,0.005984872484545244
3_primarytoV_spread,6.610696135189607e-05
3_ItoII_spread,0.1550969610420245
3_IItoIII_spread,0.05578064045518848
3_IIItoIV_spread,6.610696135189607e-05
3_IVtoV_spread,6.610696135189607e-05
3_late_p,0.5555042102737464
3_C01_coef,0.07904687766644909
3_C02_coef,0.670049906002154
3_C03_coef,0.939461972185664
3_C04_coef,0.8691967024856326
3_C05_coef,0.6737832765654707
3_C06_coef,0.6918630868740786
3_C09_coef,0.061606638883221085
3_C10_coef,0.05216760115809329
3_C12_coef,0.0
3_C13_coef,0.0
3_C32.0_coef,0.0
3_C32.1_coef,0.0
3_C32.2_coef,0.0
