,value
0_primarytoI_spread,0.009178161671234423
0_primarytoII_spread,0.25691045524160155
0_primarytoIII_spread,0.15138566884258975
0_primarytoIV_spread,0.05371805138764868
0_primarytoV_spread,0.027038933933891698
0_ItoII_spread,0.19586354570710157
0_IItoIII_spread,0.19423676314393679
0_IIItoIV_spread,0.04905396661328174
0_IVtoV_spread,0.05679159554907653
0_late_p,0.41664868001686395
0_C01_coef,0.02306099693243075
0_C02_coef,0.00026658864215950006
0_C03_coef,0.0
0_C04_coef,0.0
0_C05_coef,0.11398112119568182
0_C06_coef,0.0
0_C09_coef,0.08115643434432979
0_C10_coef,0.32987836754277283
0_C12_coef,0.9901366042597104
0_C13_coef,0.9986221657686803
1_primarytoI_spread,0.05374170621000775
1_primarytoII_spread,0.029656878116761928
1_primarytoIII_spread,0.009494348646532747
1_primarytoIV_spread,0.004053747640407306
1_primarytoV_spread,6.610696135189607e-05
1_ItoII_spread,0.14716869208484973
1_IItoIII_spread,0.052793052962699774
1_IIItoIV_spread,0.056075313200656604
1_IVtoV_spread,6.610696135189607e-05
1_late_p,0.7344376859007592
1_C01_coef,0.06434232125101347
1_C02_coef,0.5912462690305098
1_C03_coef,1.0
1_C04_coef,0.9616987274241222
1_C05_coef,0.5867383734774299
1_C06_coef,0.9999895615293665
1_C09_coef,0.07760356081324397
1_C10_coef,0.22246581829333217
1_C12_coef,0.0
1_C13_coef,9.79288036966909e-06
2_primarytoI_spread,0.0351915208418593
2_primarytoII_spread,0.511925758711803
2_primarytoIII_spread,0.032949429371845765
2_primarytoIV_spread,0.006736079490086078
2_primarytoV_spread,0.01707574381283208
2_ItoII_spread,0.9999338930386481
2_IItoIII_spread,0.20949278386026116
2_IIItoIV_spread,0.1863625333756843
2_IVtoV_spread,0.3224048588947093
2_late_p,0.3668731197504128
2_C01_coef,0.9125966818165557
2_C02_coef,0.40848714232733074
2_C03_coef,0.0
2_C04_coef,0.03830127257587782
2_C05_coef,0.29928050532688827
2_C06_coef,1.0438470633537854e-05
2_C09_coef,0.8412400048424262
2_C10_coef,0.44765581416389505
2_C12_coef,0.009863395740289592
2_C13_coef,0.0013680413509500472
