,value
0_primarytoI_spread,0.015104818515903064
0_primarytoII_spread,0.27138838758869005
0_primarytoIII_spread,0.15801278524971335
0_primarytoIV_spread,0.05510902893421667
0_primarytoV_spread,0.03637434181809018
0_ItoII_spread,0.9018575314511407
0_IItoIII_spread,0.2377185071112523
0_IIItoIV_spread,0.028113693322252754
0_IVtoV_spread,0.05606259416552445
0_late_p,0.39397655256040554
0_C01_coef,0.0006246654896160241
0_C02_coef,0.23502459967409503
0_C03_coef,0.0
0_C04_coef,0.12197932642506348
0_C05_coef,0.14710063079744476
0_C06_coef,0.0
0_C09_coef,0.04711077614443931
0_C10_coef,0.32669177795746324
0_C12_coef,0.9943509694591217
0_C13_coef,0.987076045080904
1_primarytoI_spread,0.04374320460223449
1_primarytoII_spread,0.046433079418030404
1_primarytoIII_spread,0.0042425946784814764
1_primarytoIV_spread,6.610696135189607e-05
1_primarytoV_spread,6.610696135189607e-05
1_ItoII_spread,0.001734693571573953
1_IItoIII_spread,6.610696135189607e-05
1_IIItoIV_spread,6.610696135189607e-05
1_IVtoV_spread,0.07117810741339198
1_late_p,0.8424155237433926
1_C01_coef,0.00012757637416944758
1_C02_coef,0.5443856220388307
1_C03_coef,1.0
1_C04_coef,0.8768120127469993
1_C05_coef,0.4783964874854742
1_C06_coef,0.9592385151820599
1_C09_coef,0.04551712257223311
1_C10_coef,0.22700330194540266
1_C12_coef,0.0
1_C13_coef,3.8840418437383585e-06
2_primarytoI_spread,0.03429909687605013
2_primarytoII_spread,0.43268020157760423
2_primarytoIII_spread,0.09905800488383652
2_primarytoIV_spread,6.610696135189607e-05
2_primarytoV_spread,0.01875954647362504
2_ItoII_spread,0.9999410363539007
2_IItoIII_spread,0.10373498487917503
2_IIItoIV_spread,0.19289521956639394
2_IVtoV_spread,0.15156903742040626
2_late_p,0.35986996041354663
2_C01_coef,0.9992477581362146
2_C02_coef,0.22058977828707424
2_C03_coef,0.0
2_C04_coef,0.001208660827937279
2_C05_coef,0.374502881717081
2_C06_coef,0.04076148481794007
2_C09_coef,0.9073721012833276
2_C10_coef,0.44630492009713413
2_C12_coef,0.005649030540878297
2_C13_coef,0.012920070877252316
