0_primarytoI_spread,0_primarytoII_spread,0_primarytoIII_spread,0_primarytoIV_spread,0_primarytoV_spread,0_ItoII_spread,0_IItoIII_spread,0_IIItoIV_spread,0_IVtoV_spread,0_late_p,0_C01_coef,0_C02_coef,0_C03_coef,0_C04_coef,0_C05_coef,0_C06_coef,0_C09_coef,0_C10_coef,0_C12_coef,0_C13_coef,1_primarytoI_spread,1_primarytoII_spread,1_primarytoIII_spread,1_primarytoIV_spread,1_primarytoV_spread,1_ItoII_spread,1_IItoIII_spread,1_IIItoIV_spread,1_IVtoV_spread,1_late_p,1_C01_coef,1_C02_coef,1_C03_coef,1_C04_coef,1_C05_coef,1_C06_coef,1_C09_coef,1_C10_coef,1_C12_coef,1_C13_coef,2_primarytoI_spread,2_primarytoII_spread,2_primarytoIII_spread,2_primarytoIV_spread,2_primarytoV_spread,2_ItoII_spread,2_IItoIII_spread,2_IIItoIV_spread,2_IVtoV_spread,2_late_p,2_C01_coef,2_C02_coef,2_C03_coef,2_C04_coef,2_C05_coef,2_C06_coef,2_C09_coef,2_C10_coef,2_C12_coef,2_C13_coef
0.7739560485559633,0.4388784397520523,0.8585979199113825,0.6973680290593639,0.09417734788764953,0.9756223516367559,0.761139701990353,0.7860643052769538,0.12811363267554587,0.45038593789556713,0.2818752842203129,0.4873511575649198,0.3665374444396393,0.4428039039297874,0.27402787301715875,0.189770585851263,0.48502193773415847,0.05758311368462375,0.6929625492858689,0.4460880098467308,0.7580877400853738,0.35452596812986836,0.9706980243949033,0.8931211213221977,0.7783834970737619,0.19463870785196757,0.4667210037270342,0.04380376578722878,0.15428949206754783,0.6830489532424546,0.5661573974336264,0.5087772992406018,0.18548480167806947,0.19937853375145698,0.2901832655946628,0.1582304746878253,0.11362515118783818,0.4292345443760203,0.18998762528063287,0.4730296535164862,0.43715191887233074,0.8326781960578374,0.7002651020022491,0.31236664138204107,0.8322598013952011,0.8047643574968019,0.38747837903017446,0.2883281039302441,0.6824955039749755,0.1397524836093098,0.15196731834606073,0.003871543194478482,0.4479777538822912,0.35781756231875556,0.4357888613881785,0.6519989394609118,0.40135291107800336,0.513182341939356,0.1170498254334983,0.08088233663678303
0.048429760452728524,0.20439205074138783,0.08348476629529496,0.02980524297709764,0.0022180232270753828,5.137384498496981e-05,0.3008494534982896,0.17878256144247037,0.026718353800840665,0.601833508850574,0.23532579571123605,0.6699756151242162,0.2627869480734148,0.33895715681303,0.2593065896109614,0.11534482670168598,0.2796728055565162,0.03125299448024335,0.41671896545862325,0.340208562514054,0.012169711099881918,0.03376228188884301,0.07029172264473602,0.003956653254940451,0.009659009465859581,0.9999999997797323,0.9999535595769664,0.48759873326207864,0.8408359831904606,0.9999338929470961,0.04844572034327238,0.25867895202145885,0.061914593904159564,0.08184181369010048,0.10315284283810372,0.044719964066666514,0.02230681803019441,0.08084567666940547,0.03388890425128372,0.08054798550095676,0.03308333981736181,0.4072087207232893,0.06556346749048295,0.013774349765593608,0.05997104548009973,6.61069613489674e-05,0.16807586850631862,0.09908420419934204,0.3049093247092459,0.2827370972303605,0.7162284839454915,0.07134543285432494,0.6752984580224256,0.5792010294968696,0.6375405675509349,0.8399352092316476,0.6980203764132894,0.8879013288503512,0.549392130290093,0.5792434519849893
0.041380487051867136,0.18175353531724847,0.05577539290082935,0.026366971637808177,0.0017659296527819304,6.610696135189607e-05,0.2700233210022078,0.12857574377034456,0.02548270645084195,0.6461009732751889,0.23200873177603595,0.6549771958796508,0.3197341885653066,0.3895150028309687,0.31047168504595907,0.13870381834765885,0.26629191512245676,0.03345225435048572,0.42955804044808327,0.37010957606172257,0.010320283986232259,0.02720913396225106,0.03267051615554028,0.0012195746229755613,0.006069043153062762,0.737206716534224,0.8976548858822484,0.2661698400653244,0.8887627830993368,0.983332554340034,0.021258465009677766,0.25708344950077217,0.0792412143341487,0.1094740003484949,0.1110305138005602,0.060431870780057864,0.018497369464630622,0.08166987048840299,0.04359172612202274,0.06520802937229753,0.02991189350729334,0.3682591416968022,0.06364326972380346,0.01086233309157142,0.027304803809074036,0.016182137577874622,0.14230329728593938,0.09867875912447908,0.32242597615729973,0.31323454871110945,0.7467328032142863,0.08793935461957707,0.6010245971005447,0.5010109968205364,0.5784978011534807,0.8008643108722833,0.7152107154129126,0.8848778751611113,0.526850233429894,0.5646823945659799
0.04025484670680485,0.17238449775259837,0.048633763705288775,0.02684567626792991,0.0025910559414015783,6.610696135189607e-05,0.2535029050702585,0.11769186540661497,0.024517924678545296,0.6614723501379784,0.21991384986067253,0.6368718024706619,0.37196549819302394,0.42117696375254227,0.34834838963621284,0.15957208100451528,0.244675091467874,0.03327623645121954,0.4291090425085225,0.3889450938465856,0.010417489509148233,0.022418466759357134,0.023487911324901904,0.0003133669159003297,0.005810150433753543,0.4923922554266237,0.8311219671581358,0.1878600627498808,0.9999447486019797,0.9633748247935854,0.011352840079413493,0.2612953117649171,0.11329953070230031,0.15112009932116846,0.11867153837838758,0.09512195400813349,0.015670704587748486,0.08772718362651777,0.05272720881512545,0.060454005940269534,0.02983358066008319,0.37451378853181516,0.0718698993435689,0.009879494286792837,0.02681373692411637,0.07168166860939565,0.1330973825737477,0.12121781151770174,0.3262015562534317,0.3188292555197431,0.768733310059914,0.10183288576442104,0.5147349711046757,0.42770293692628936,0.5329800719853997,0.7453059649873512,0.7396542039443775,0.8789965799222627,0.5181637486763521,0.5506009002131449
0.04004598891920264,0.16283283821604724,0.04433058586967668,0.026851799635382555,0.003386750233592343,6.610696135189607e-05,0.23646042320454344,0.1074481350049568,0.02208199831329888,0.678437930726677,0.20640882191150037,0.6219426343664846,0.4248532705191378,0.44329856355454345,0.3846939986719167,0.18279858661326645,0.22484772477130116,0.03260253309447345,0.42369605833488244,0.4041131771108717,0.011337040345768396,0.016795760968962375,0.018624774199259054,6.610696135189607e-05,0.004670315397024138,0.2720026721004767,0.7259068119103308,0.13598035113318402,0.9999574081147873,0.9615299370848641,0.006438188307154444,0.26573018216665206,0.16990720089650183,0.20932323272640074,0.12816298591764647,0.15963877785553368,0.013366791543224097,0.09590695777549318,0.05765423602110085,0.05772245077698872,0.029248392821316527,0.387421461737436,0.08101043569263319,0.009132356626924038,0.026607782289774704,0.17802673481623418,0.12260159712102668,0.13994010270079232,0.3318755320606432,0.3220902019742234,0.7871529897813452,0.11232718346686332,0.4052395285843604,0.34737820371905587,0.48714301541043686,0.6575626355311999,0.7617854836854747,0.8714905091300333,0.5186497056440168,0.5381643721121395
0.039898546549495505,0.1543543729325691,0.04173717764233587,0.02666795461293185,0.0041484085034206464,6.610696135189607e-05,0.2174527754452674,0.09661748777108728,0.018668484446645237,0.6977199764440327,0.1921258796199833,0.6097756888748987,0.45989160236007515,0.44779454616916237,0.41835812877166295,0.20067324168912654,0.20711670198766466,0.03179087476689805,0.4136157403242517,0.4155663783490903,0.014551817475780849,0.011437711827622578,0.014912385235504795,6.610696135189607e-05,0.0031603034792732757,0.1306453552287462,0.5648349392371047,0.09639711634413439,0.9999593752296599,0.9616122501465871,0.0038011570140744585,0.26924842678423455,0.2575390643257441,0.2847350564366947,0.13943655381596054,0.2694587120649163,0.01156700138190345,0.10621028273045882,0.05788734838007827,0.055556087905702836,0.028100753313767882,0.4039418826225863,0.09087870661854465,0.008764728165679704,0.026644958648572498,0.39696525031488933,0.11074075920627131,0.15319700406452333,0.33354066772238006,0.3256848378519905,0.8040729633659423,0.12097588434086666,0.2825693333141808,0.2674703973941429,0.4422053174123765,0.5298680462459572,0.7813162966304319,0.8619988425026431,0.52849691129567,0.5288775337452069
0.03857508138201949,0.14791433105917604,0.04154664484346588,0.026763050961768325,0.004938206419937999,0.020544711867461443,0.1946942589227896,0.08494902548985266,0.014499201661499029,0.7182754397297775,0.17821227907739587,0.5992200133401668,0.44530113964183393,0.42436122384557495,0.4470622031281984,0.19420026156820283,0.1924004949108288,0.030891424127123156,0.40003923994245155,0.42410915947706784,0.021180242430199843,0.007118978375765279,0.011558070460801489,6.610696135189607e-05,0.001743811595097581,0.06816274165366419,0.3596305757610447,0.06445759847802375,0.9999589498582658,0.9717217812714407,0.002340155601591458,0.2724874831393202,0.3833271627817947,0.3764431439589008,0.15282671177986307,0.42313777257440816,0.01031502293481951,0.1194001608225424,0.053417514817050475,0.052725459035655564,0.026647905078818885,0.4200285780377236,0.10099863556593097,0.00870106531010205,0.026736389813250237,0.8495889015918089,0.0980491233779818,0.16135358511177142,0.32933077507219877,0.330662225033735,0.8194475653210127,0.12829250352051305,0.17137169757637133,0.19919563219552416,0.40011108509193855,0.382661965857389,0.7972844821543517,0.8497084150503345,0.546543245240498,0.5231653814872766
0.03538232367742011,0.14096641893643166,0.04432712740501129,0.02741884573416321,0.005821424875793436,0.0965615091371535,0.16654947271774367,0.07061675483413163,0.009829717342453699,0.7429051885786679,0.1663841383657447,0.5897453478929499,0.3699181184660516,0.37640641788358253,0.46876992481561197,0.1633847230723674,0.18163584159867505,0.029866264891504547,0.3862533019039312,0.43238641657008,0.02941961673555118,0.004386712462192764,0.008887277768430377,6.610696135189607e-05,0.0007953695642823232,0.056576693824624186,0.18135374091663997,0.03934047960066013,0.99995614477139,0.9719511621095296,0.001536595623418699,0.2763359374317146,0.5359646513361613,0.4725114672967601,0.16837579448583542,0.569328120639891,0.009656856860304631,0.13407794621436775,0.04520368957710667,0.04826330896010064,0.02530429543702639,0.4327237895602194,0.109573417119794,0.008715515270580742,0.026587532976758164,0.9999338930386481,0.08699887890620861,0.1653299186539947,0.3220382503951391,0.33662002716245926,0.8320792660108366,0.13391871467533567,0.094117230197787,0.1510821148196574,0.3628542806985527,0.2672871562877416,0.8087073015410203,0.8360557888941277,0.5685430085189621,0.5193502744698194
0.03169690696491949,0.13495259587370537,0.048297942496785574,0.02836686014663719,0.0068962174771344375,0.1976578358495223,0.1422612730819225,0.05678659462549111,0.005382123298532859,0.7650469165810425,0.1571790103530549,0.5812584601182662,0.2659271290663375,0.32547619373038633,0.48327919903838756,0.13140193750106308,0.17455090061790735,0.029122574982640502,0.3759488943672389,0.44385002996112816,0.0372205624454068,0.0031550918061362936,0.0071187947604202705,6.610696135189607e-05,0.0003242530807016227,0.07249838864319383,0.07426144772647245,0.020587585801962283,0.9999457819238501,0.9510847391954133,0.0011082370700272763,0.2813254045613753,0.6843893600844523,0.5517625810464514,0.1855430797056063,0.6704238554550135,0.009625563206017177,0.1478438092574924,0.035565033199696304,0.04239240309792919,0.024311770263991814,0.4413587197000119,0.11575801464377912,0.008676924220808012,0.026234338549353347,0.9999338930386481,0.08072885908401367,0.1684356087100639,0.31756604524106713,0.33925263231974256,0.8417127525769178,0.1374161353203584,0.0496835108492103,0.12276122522316235,0.33117772125600614,0.19817420704392347,0.8158235361760755,0.8230336157598671,0.5884860724330648,0.5137575669409427
0.02828130306194776,0.13086875837861514,0.05166079943029812,0.029294835339852186,0.00809728541968451,0.27753590965073766,0.1287848573709398,0.045848358845168836,0.001581755326590123,0.7811525391262919,0.14973976702225666,0.5723915887396128,0.16894087071426434,0.2868674340682154,0.4898571213943977,0.10601593809246411,0.16980311480130367,0.028778366690305365,0.3704148652699196,0.45904747983994565,0.044443353679065795,0.0029043398413061963,0.006132923912325744,6.610696135189607e-05,0.00010696331036034352,0.10121542381928207,0.030639593924180947,0.008725508531072597,0.8041730312841526,0.9145808982468446,0.0008811672218805562,0.2886100059808905,0.8043306405779194,0.6048066869242215,0.20408603056141736,0.734226080289698,0.010202265810682532,0.16091433416651582,0.026793594658054476,0.03607219964225886,0.023558010825425975,0.44702108176007516,0.11899949370256496,0.008657089169379129,0.025676472354632617,0.9999338930386481,0.07953499503957215,0.1717775980704584,0.31682042188879833,0.33912584282379615,0.8493790657558627,0.1389984052794967,0.02672848870781627,0.10832587900756313,0.3060568480441849,0.15975798161783786,0.8199946193880138,0.8103072991431788,0.6027915400720258,0.5048803205177955
