0_primarytoI_spread,0_primarytoII_spread,0_primarytoIII_spread,0_primarytoIV_spread,0_primarytoV_spread,0_ItoII_spread,0_IItoIII_spread,0_IIItoIV_spread,0_IVtoV_spread,0_late_p,0_C01_coef,0_C02_coef,0_C03_coef,0_C04_coef,0_C05_coef,0_C06_coef,0_C09_coef,0_C10_coef,1_primarytoI_spread,1_primarytoII_spread,1_primarytoIII_spread,1_primarytoIV_spread,1_primarytoV_spread,1_ItoII_spread,1_IItoIII_spread,1_IIItoIV_spread,1_IVtoV_spread,1_late_p,1_C01_coef,1_C02_coef,1_C03_coef,1_C04_coef,1_C05_coef,1_C06_coef,1_C09_coef,1_C10_coef
0.7739560485559633,0.4388784397520523,0.8585979199113825,0.6973680290593639,0.09417734788764953,0.9756223516367559,0.761139701990353,0.7860643052769538,0.12811363267554587,0.45038593789556713,0.7061642349551515,0.575696957652626,0.4636702239788103,0.45957369269450726,0.5764318732860325,0.3801895926240343,0.5415123547889141,0.2519546962530933,0.8276311719925821,0.6316643991220648,0.7580877400853738,0.35452596812986836,0.9706980243949033,0.8931211213221977,0.7783834970737619,0.19463870785196757,0.4667210037270342,0.04380376578722878,0.2938357650448486,0.42430304234737404,0.5363297760211897,0.5404263073054928,0.4235681267139675,0.6198104073759657,0.45848764521108587,0.7480453037469067
0.040911590910339746,0.3165006265624145,0.07527912242507734,0.012295671178899105,0.0005556438825748023,6.610696135189607e-05,0.07612987259751933,0.12132370233528249,0.05797423386450539,0.6242532994641301,0.7290803977657037,0.630897262222497,0.39211233966756126,0.4573955141324433,0.6426024712636024,0.2902713382601787,0.6581370985787653,0.3268998801581403,0.05404629077869367,0.2378743188951685,0.022972762893931863,0.005508777038778477,0.16601349526230852,0.8447781429171659,0.3080278283659123,0.18752526812534379,0.9999338829117475,0.21877233068887889,0.2709196022342964,0.3691027377775031,0.6078876603324388,0.5426044858675568,0.3573975287363976,0.7097286617398213,0.3418629014212347,0.6731001198418597
0.035821302352747636,0.2909777946492573,0.05868352994985215,0.010792895293226445,0.00031336691604320427,6.610696135189607e-05,0.07043152818668455,0.10328910562721157,0.06874203039231774,0.62476783491675,0.8069845794953567,0.6633941621539409,0.358624934764906,0.4609560767776089,0.6979931297942472,0.2657953011780118,0.7009482561784761,0.41979832005884715,0.04538300856282806,0.18768147525391954,0.025501638240421905,0.0029322001239871012,0.045219645230106145,0.1759471273360616,0.25239325478335206,0.1903135629829137,0.9999338930412646,0.2807819648846494,0.19301542050464324,0.33660583784605913,0.641375065235094,0.5390439232223911,0.3020068702057528,0.7342046988219882,0.2990517438215239,0.5802016799411528
0.03413695356755571,0.3036175224514074,0.059096339388366906,0.011650281356625582,0.0006638865393263927,6.610696135189607e-05,0.06830245085447811,0.10700580172835138,0.08304834206825244,0.5907573559117019,0.8317633406914502,0.6302536364942859,0.27075548180529313,0.38988595197270176,0.6948968424713541,0.20872142234142357,0.690640933334599,0.44124282834344647,0.049208784293036024,0.17832160683265016,0.02882052826105463,0.0016447539254284022,0.041340581432061894,0.06463685701513514,0.26155654813637147,0.18255616084998788,0.9999377279275738,0.3007960934473929,0.16823665930854986,0.3697463635057141,0.7292445181947069,0.6101140480272983,0.3051031575286459,0.7912785776585765,0.30935906666540103,0.5587571716565535
0.03236561174010336,0.3207058925838281,0.05993673483325958,0.012419318007888933,0.0013584602506612287,6.610696135189607e-05,0.0678343129002538,0.11130198762875848,0.08895683239236248,0.5689432355953872,0.8539536332323228,0.5934090907775659,0.19436407561544075,0.3167516327722527,0.689324708353661,0.16347971744175085,0.688647339292642,0.4582260897654394,0.05185985696396586,0.16161737667865997,0.029236077783886275,0.0009024667827506089,0.0370260207376722,0.06301073773800575,0.26233788084075316,0.168095106051684,0.9999353878392448,0.32543758649881105,0.1460463667676772,0.4065909092224342,0.8056359243845592,0.6832483672277473,0.310675291646339,0.8365202825582492,0.311352660707358,0.5417739102345607
0.030939034316232523,0.3425427814501674,0.06282703261548525,0.013155617496424844,0.002781118068866061,0.048870194129073355,0.06738918178451417,0.11664866110702468,0.09388718629499235,0.5437710664511164,0.8748488044869553,0.5494967490495523,0.12914379876541826,0.24497134259979192,0.676841481599001,0.12478795962872243,0.6949334070753829,0.4727897733300026,0.05349210695847964,0.14064217759816083,0.028701299866115432,0.0005018711054690032,0.03196813431018929,0.09895354855454591,0.25411460075917136,0.15052849887489364,0.9999382143676615,0.3531249846186235,0.12515119551304468,0.4505032509504477,0.8708562012345817,0.7550286574002081,0.3231585184009989,0.8752120403712775,0.30506659292461713,0.5272102266699974
0.030046044539753698,0.3726620135889802,0.06813035980815658,0.01396732023508624,0.005564203997209305,0.13156858945412567,0.06802078301580329,0.12433817074230258,0.10039996081598146,0.5108918852247664,0.8956294768352872,0.49797453969016114,0.07722197660532625,0.17958564156908052,0.6550108177792653,0.09207006580022932,0.7117925134002735,0.48826629706885166,0.054761091104868896,0.1182868792926053,0.027670544402424693,0.0002800335820725831,0.025732010061779657,0.13739009370945576,0.2371866205833197,0.12984766221340302,0.9999363403055282,0.38561280565503203,0.10437052316471292,0.5020254603098389,0.9227780233946737,0.8204143584309195,0.3449891822207347,0.9079299341997706,0.28820748659972656,0.5117337029311483
0.029178124771036814,0.4061397606553557,0.07406157836803332,0.01477565952131115,0.009933329689726825,0.24092931121026,0.06929142838544125,0.13158778815128844,0.10758931461850975,0.479377134438448,0.9146890136982947,0.4417493818738812,0.04064062688227865,0.1256737087834384,0.6222998626048225,0.06572528436163437,0.7399921575873335,0.5075080387259102,0.05498119122240372,0.09396079189535428,0.026023191568652595,0.00017307027171223956,0.018209441409419356,0.17010920013062225,0.20681324112584176,0.10288547614485162,0.9999514005710485,0.43095863114461624,0.08531098630170536,0.5582506181261189,0.9593593731177213,0.8743262912165616,0.3777001373951775,0.9342747156383656,0.2600078424126665,0.49249196127408973
0.02863177701865009,0.4387391380399446,0.08017521316157282,0.01540990157210193,0.014598221437879193,0.3793627290934703,0.07108396551650888,0.1387157126218057,0.1171018651439368,0.451721155915198,0.9291694093597371,0.3895985960287112,0.018793420790169633,0.0867368264489624,0.5811147607574113,0.046330856085510685,0.7733680172542793,0.5323512498631107,0.05503328007265021,0.07348595326734757,0.024441329142417364,0.00017307027171223956,0.011749304144136581,0.19483903817449924,0.16918809439905058,0.07345870573026646,0.9999558568623137,0.4831614654224164,0.07083059064026291,0.6104014039712887,0.9812065792098303,0.9132631735510376,0.41888523924258875,0.9536691439144893,0.2266319827457207,0.46764875013688934
0.028094469398638806,0.45911119089787855,0.08418709761301253,0.015730275740142432,0.017727414682015667,0.5346045869383674,0.07280351698393389,0.1429859550023245,0.12544753304237613,0.43498416131069656,0.9383829208706109,0.3508959690303829,0.007888555088194249,0.06226209714997054,0.5393286337680496,0.03370377243541748,0.8012988088854628,0.5599089827683599,0.053923803277178745,0.057943478700264034,0.022884186461335873,0.00020640360553998607,0.007676067247192417,0.2030165242185311,0.12960102224646727,0.04758567371060949,0.6842940543586784,0.5391004091452433,0.06161707912938905,0.6491040309696172,0.9921114449118058,0.9377379028500294,0.4606713662319504,0.9662962275645826,0.19870119111453716,0.44009101723164007
0.028031880646480958,0.4707710472943095,0.08699603976222726,0.015712755427044086,0.01947636172902361,0.722179537625363,0.07513494289117434,0.14647885559159363,0.13508388286334969,0.42324748720459937,0.9440320838394627,0.3291394673074112,0.003185344665378183,0.04881180242430232,0.506956449046956,0.026045904401938567,0.8216055034669909,0.5874415529483035,0.052793721660950005,0.04846908714645722,0.0217102482642816,0.00039068671860642464,0.005533832297420293,0.2009472293699971,0.09906685183651612,0.03069549515288039,0.2992935159184505,0.5842230842650721,0.05596791616053733,0.6708605326925888,0.9968146553346218,0.9511881975756977,0.493043550953044,0.9739540955980615,0.17839449653300915,0.41255844705169653
0.02813686556202821,0.47575903345813525,0.08848934391402195,0.015043178525980883,0.02044911304801733,0.9999558304644143,0.07741574846079449,0.14975767680220284,0.14391405053094514,0.41561130012254455,0.9477073006296345,0.3160688490140234,0.0012811398823684118,0.04204868908155154,0.48427434046978596,0.021405374311775003,0.8357905018053079,0.611771241727456,0.05254115834159359,0.043442644159505904,0.020914629017930397,0.0010381053534313288,0.004464791075555861,0.19727902299609043,0.08072633185073509,0.020634021152326664,0.07223547026943351,0.6071015649799353,0.052292699370365486,0.6839311509859767,0.9987188601176316,0.9579513109184484,0.5157256595302141,0.978594625688225,0.16420949819469216,0.38822875827254394
0.028220712675368687,0.47937358501559996,0.08941206464860048,0.013396745124579591,0.02092931802913289,0.9999338930386481,0.0782133495120718,0.15427704131595116,0.15358882149569886,0.41121788942673504,0.9502234112791341,0.30335730483516415,0.0005208082804321562,0.0391436127287539,0.4641763411105902,0.018653448046395002,0.8458516457331751,0.6317494587127604,0.05238087365050833,0.04051484628909662,0.020376605629575946,0.002380558787276256,0.00381277111735572,0.19107285236222968,0.06925997907453314,0.013294224076986301,0.0047666614265595335,0.6160230469630816,0.04977658872086587,0.6966426951648359,0.9994791917195679,0.9608563872712461,0.5358236588894099,0.981346551953605,0.15414835426682497,0.36825054128723955
0.028443574924482854,0.4816883976277641,0.09039819299154667,0.011799265614001865,0.021220871636065848,0.9999338930386481,0.07781727209562322,0.15813449979144747,0.16236403483587913,0.4082124328639093,0.9521665585873313,0.29380164750490706,0.000216091648164187,0.03879432824521948,0.44431872383269017,0.01726955406681586,0.8528746365774414,0.64733877506924,0.05240026437730984,0.038862443130443916,0.020056082502144447,0.0037318126750987535,0.003380138298596398,0.19131764462227116,0.06366446804290322,0.008373400053598094,4.069286502244229e-09,0.6176753136400983,0.047833441412668695,0.7061983524950929,0.9997839083518358,0.9612056717547806,0.5556812761673098,0.9827304459331841,0.1471253634225586,0.35266122493076
0.028537412726209025,0.4812629045320749,0.09077709336548628,0.01092607365772528,0.021416060326213335,0.9999338930386481,0.07745008259229959,0.15965688460284935,0.1667227962136731,0.4068446568151549,0.95363401417555,0.2890758968209897,9.128704618532607e-05,0.040054961941257405,0.4289160894180219,0.016702520724015027,0.8578016916768274,0.6589621059380303,0.052589729582682605,0.037992808483393314,0.019869944320912013,0.004598745069211854,0.0031056200151418608,0.19210124796374836,0.06092862541459517,0.005833014151677619,6.610696135189607e-05,0.6163941967499615,0.04636598582444998,0.7109241031790102,0.9999087129538147,0.9599450380587425,0.5710839105819782,0.983297479275985,0.14219830832317262,0.34103789406196966
0.028591355283898265,0.4797384260394645,0.09117509869053413,0.01045025906083893,0.021508792294252108,0.9999338930386481,0.0771598238861978,0.1604594881810387,0.16922927505946558,0.40586056452670605,0.9548836213471357,0.2876757850169075,3.9023396486220106e-05,0.042234113707145034,0.41903265471141576,0.016523805153545235,0.8616666464700589,0.6676501480058228,0.052877302447847926,0.03749027137567161,0.019659882405817276,0.0049547731916331945,0.0029144111408844838,0.1926584491155567,0.05967182745550248,0.005139380925650285,6.610696135189607e-05,0.6154336554858708,0.045116378652864296,0.7123242149830925,0.9999609766035138,0.957765886292855,0.5809673452885843,0.9834761948464548,0.13833335352994117,0.33234985199417727
